Iteration,Group,Pglong,Category,Subcategory,DisplayName,Mean,Std,CV,N_Params,IsLog
4,pg33,ghbpw1-head-ts-hg,GHB Head TS,GHB-Poukawa-head-ts,Poukawa head-ts,-0.001589914286509997,0.1655736816800731,-10414.000495807986,25,False
4,pg34,ghbpw3-head-ts-cn,GHB Head TS,GHB-Poukawa-head-ts,Poukawa head-ts,-0.010681463650046045,0.6704970782398868,-6277.202265599588,25,False
4,pg35,ghbpw3-head-ts-hg,GHB Head TS,GHB-Poukawa-head-ts,Poukawa head-ts,-0.009492888118692276,0.6559749107681285,-6910.172147467534,25,False
4,pg36,ghbspring1-head-hg,GHB Head,GHB-Spring-head,Spring head (head-grid),-0.001474403947758889,0.03300269365653385,-2238.3752910251173,11,False
4,pg37,ghbspring1-head-cn,GHB Head,GHB-Spring-head,Spring head (constant),-0.001209983461479904,0.0326246749235543,-2696.2909793537,1,False
4,pg38,ghbspring3-head-hg,GHB Head,GHB-Spring-head,Spring head (head-grid),0.04464692448050412,0.6679510498513292,1496.0740468092088,12,False
4,pg39,ghbspring3-head-cn,GHB Head,GHB-Spring-head,Spring head (constant),0.08736933611549719,0.6511147414936284,745.2440071570333,1,False
4,pg40,ghbspring1-head-ts-cn,GHB Head TS,GHB-Spring-head-ts,Spring head-ts,0.0006162009472913949,0.03273072644698198,5311.696872725508,12,False
4,pg41,ghbspring1-head-ts-hg,GHB Head TS,GHB-Spring-head-ts,Spring head-ts,-0.00012639530172910759,0.03308708756661221,-26177.46634089689,12,False
4,pg42,ghbspring3-head-ts-cn,GHB Head TS,GHB-Spring-head-ts,Spring head-ts,0.010634319716465132,0.6542988470474103,6152.7099475329715,12,False
4,pg43,ghbspring3-head-ts-hg,GHB Head TS,GHB-Spring-head-ts,Spring head-ts,-0.006098152408678118,0.661605758350266,-10849.28211057422,12,False
4,pg44,ghbconf1-head-hg,GHB Head,GHB-Confined-head,Confined head (head-grid),-0.028860676820249915,0.17204592421385886,-596.1257432921459,1432,False
4,pg45,ghbconf1-head-cn,GHB Head,GHB-Confined-head,Confined head (constant),-0.014115706080335308,0.16016154469988358,-1134.6336044996417,1,False
4,pg46,ghbconf3-head-hg,GHB Head,GHB-Confined-head,Confined head (head-grid),0.007402143734896944,0.17287383688996752,2335.4563634716337,1432,False
4,pg47,ghbconf3-head-cn,GHB Head,GHB-Confined-head,Confined head (constant),-0.022048198704017887,0.16968016195442617,-769.5874127055332,1,False
4,pg48,ghbconf1-head-ts-cn,GHB Head TS,GHB-Confined-head-ts,Confined head-ts,0.00013045035310142698,0.16644218973722646,127590.44784479451,1432,False
4,pg49,ghbconf1-head-ts-hg,GHB Head TS,GHB-Confined-head-ts,Confined head-ts,0.0007889183704089433,0.1668603568118473,21150.522420380916,1432,False
4,pg50,ghbconf3-head-ts-cn,GHB Head TS,GHB-Confined-head-ts,Confined head-ts,0.0005475967402942122,0.16618959769938976,30348.90193285292,1432,False
