name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
pname:npfklayer4pp_inst:0_ptype:pp_pstyle:m_i:5_j:25_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer4pp_inst:0_ptype:pp_pstyle:m_i:5_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer4pp_inst:0_ptype:pp_pstyle:m_i:5_j:45_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer4pp_inst:0_ptype:pp_pstyle:m_i:5_j:55_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer4pp_inst:0_ptype:pp_pstyle:m_i:15_j:15_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer4pp_inst:0_ptype:pp_pstyle:m_i:15_j:25_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer4pp_inst:0_ptype:pp_pstyle:m_i:15_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer4pp_inst:0_ptype:pp_pstyle:m_i:15_j:45_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer4pp_inst:0_ptype:pp_pstyle:m_i:15_j:55_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer4pp_inst:0_ptype:pp_pstyle:m_i:25_j:5_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer4pp_inst:0_ptype:pp_pstyle:m_i:25_j:15_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer4pp_inst:0_ptype:pp_pstyle:m_i:25_j:25_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer4pp_inst:0_ptype:pp_pstyle:m_i:25_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer4pp_inst:0_ptype:pp_pstyle:m_i:35_j:5_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer4pp_inst:0_ptype:pp_pstyle:m_i:35_j:15_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer4pp_inst:0_ptype:pp_pstyle:m_i:35_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer4cn_inst:0_ptype:cn_pstyle:m,0,1,-2,2,0,1,-2,2
pname:npfklayer5pp_inst:0_ptype:pp_pstyle:m_i:5_j:25_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer5pp_inst:0_ptype:pp_pstyle:m_i:5_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer5pp_inst:0_ptype:pp_pstyle:m_i:5_j:45_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer5pp_inst:0_ptype:pp_pstyle:m_i:5_j:55_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer5pp_inst:0_ptype:pp_pstyle:m_i:15_j:15_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer5pp_inst:0_ptype:pp_pstyle:m_i:15_j:25_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer5pp_inst:0_ptype:pp_pstyle:m_i:15_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer5pp_inst:0_ptype:pp_pstyle:m_i:15_j:45_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer5pp_inst:0_ptype:pp_pstyle:m_i:15_j:55_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer5pp_inst:0_ptype:pp_pstyle:m_i:25_j:5_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer5pp_inst:0_ptype:pp_pstyle:m_i:25_j:15_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer5pp_inst:0_ptype:pp_pstyle:m_i:25_j:25_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer5pp_inst:0_ptype:pp_pstyle:m_i:25_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer5pp_inst:0_ptype:pp_pstyle:m_i:35_j:5_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer5pp_inst:0_ptype:pp_pstyle:m_i:35_j:15_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer5pp_inst:0_ptype:pp_pstyle:m_i:35_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer5cn_inst:0_ptype:cn_pstyle:m,0,1,-2,2,0,1,-2,2
pname:npfklayer6pp_inst:0_ptype:pp_pstyle:m_i:5_j:25_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer6pp_inst:0_ptype:pp_pstyle:m_i:5_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer6pp_inst:0_ptype:pp_pstyle:m_i:5_j:45_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer6pp_inst:0_ptype:pp_pstyle:m_i:5_j:55_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer6pp_inst:0_ptype:pp_pstyle:m_i:15_j:15_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer6pp_inst:0_ptype:pp_pstyle:m_i:15_j:25_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer6pp_inst:0_ptype:pp_pstyle:m_i:15_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer6pp_inst:0_ptype:pp_pstyle:m_i:15_j:45_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer6pp_inst:0_ptype:pp_pstyle:m_i:15_j:55_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer6pp_inst:0_ptype:pp_pstyle:m_i:25_j:5_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer6pp_inst:0_ptype:pp_pstyle:m_i:25_j:15_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer6pp_inst:0_ptype:pp_pstyle:m_i:25_j:25_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer6pp_inst:0_ptype:pp_pstyle:m_i:25_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer6pp_inst:0_ptype:pp_pstyle:m_i:35_j:5_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer6pp_inst:0_ptype:pp_pstyle:m_i:35_j:15_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer6pp_inst:0_ptype:pp_pstyle:m_i:35_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer6cn_inst:0_ptype:cn_pstyle:m,0,1,-2,2,0,1,-2,2
pname:npfklayer7pp_inst:0_ptype:pp_pstyle:m_i:5_j:25_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer7pp_inst:0_ptype:pp_pstyle:m_i:5_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer7pp_inst:0_ptype:pp_pstyle:m_i:5_j:45_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer7pp_inst:0_ptype:pp_pstyle:m_i:5_j:55_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer7pp_inst:0_ptype:pp_pstyle:m_i:15_j:15_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer7pp_inst:0_ptype:pp_pstyle:m_i:15_j:25_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer7pp_inst:0_ptype:pp_pstyle:m_i:15_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer7pp_inst:0_ptype:pp_pstyle:m_i:15_j:45_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer7pp_inst:0_ptype:pp_pstyle:m_i:15_j:55_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer7pp_inst:0_ptype:pp_pstyle:m_i:25_j:5_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer7pp_inst:0_ptype:pp_pstyle:m_i:25_j:15_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer7pp_inst:0_ptype:pp_pstyle:m_i:25_j:25_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer7pp_inst:0_ptype:pp_pstyle:m_i:25_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer7pp_inst:0_ptype:pp_pstyle:m_i:35_j:5_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer7cn_inst:0_ptype:cn_pstyle:m,0,1,-2,2,0,1,-2,2
pname:npfklayer8pp_inst:0_ptype:pp_pstyle:m_i:5_j:25_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer8pp_inst:0_ptype:pp_pstyle:m_i:5_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer8pp_inst:0_ptype:pp_pstyle:m_i:5_j:45_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer8pp_inst:0_ptype:pp_pstyle:m_i:5_j:55_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer8pp_inst:0_ptype:pp_pstyle:m_i:15_j:15_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer8pp_inst:0_ptype:pp_pstyle:m_i:15_j:25_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer8pp_inst:0_ptype:pp_pstyle:m_i:15_j:35_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer8pp_inst:0_ptype:pp_pstyle:m_i:15_j:45_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer8pp_inst:0_ptype:pp_pstyle:m_i:15_j:55_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer8pp_inst:0_ptype:pp_pstyle:m_i:25_j:5_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer8pp_inst:0_ptype:pp_pstyle:m_i:25_j:15_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer8pp_inst:0_ptype:pp_pstyle:m_i:25_j:25_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer8pp_inst:0_ptype:pp_pstyle:m_i:35_j:5_zone:1,0,1,-2,2,0,1,-2,2
pname:npfklayer8cn_inst:0_ptype:cn_pstyle:m,0,1,-2,2,0,1,-2,2
pname:rcharechargepp_inst:0_ptype:pp_pstyle:m_i:5_j:25_zone:1,0,0.5,-1,1,0,0.499522,-0.999044,0.999044
pname:rcharechargepp_inst:0_ptype:pp_pstyle:m_i:5_j:35_zone:1,0,0.5,-1,1,0,0.49965,-0.999299,0.999299
pname:rcharechargepp_inst:0_ptype:pp_pstyle:m_i:5_j:45_zone:1,0,0.5,-1,1,0,0.499669,-0.999338,0.999338
pname:rcharechargepp_inst:0_ptype:pp_pstyle:m_i:5_j:55_zone:1,0,0.5,-1,1,0,0.499661,-0.999321,0.999321
pname:rcharechargepp_inst:0_ptype:pp_pstyle:m_i:15_j:15_zone:1,0,0.5,-1,1,0,0.498788,-0.997575,0.997575
pname:rcharechargepp_inst:0_ptype:pp_pstyle:m_i:15_j:25_zone:1,0,0.5,-1,1,0,0.499572,-0.999143,0.999143
pname:rcharechargepp_inst:0_ptype:pp_pstyle:m_i:15_j:35_zone:1,0,0.5,-1,1,0,0.499608,-0.999217,0.999217
pname:rcharechargepp_inst:0_ptype:pp_pstyle:m_i:15_j:45_zone:1,0,0.5,-1,1,0,0.499742,-0.999485,0.999485
pname:rcharechargepp_inst:0_ptype:pp_pstyle:m_i:15_j:55_zone:1,0,0.5,-1,1,0,0.499677,-0.999354,0.999354
pname:rcharechargepp_inst:0_ptype:pp_pstyle:m_i:25_j:5_zone:1,0,0.5,-1,1,0,0.499048,-0.998095,0.998095
pname:rcharechargepp_inst:0_ptype:pp_pstyle:m_i:25_j:15_zone:1,0,0.5,-1,1,0,0.499021,-0.998041,0.998041
pname:rcharechargepp_inst:0_ptype:pp_pstyle:m_i:25_j:25_zone:1,0,0.5,-1,1,0,0.4995,-0.998999,0.998999
pname:rcharechargepp_inst:0_ptype:pp_pstyle:m_i:25_j:35_zone:1,0,0.5,-1,1,0,0.499648,-0.999297,0.999297
pname:rcharechargepp_inst:0_ptype:pp_pstyle:m_i:35_j:5_zone:1,0,0.5,-1,1,0,0.499105,-0.99821,0.99821
pname:rcharechargepp_inst:0_ptype:pp_pstyle:m_i:35_j:15_zone:1,0,0.5,-1,1,0,0.499745,-0.999491,0.999491
pname:rcharechargepp_inst:0_ptype:pp_pstyle:m_i:35_j:35_zone:1,0,0.5,-1,1,0,0.499565,-0.999129,0.999129
pname:rcharechargecn_inst:0_ptype:cn_pstyle:m,0,0.5,-1,1,0,0.389165,-0.77833,0.77833
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:16_idx2:47,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:16_idx2:48,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:16_idx2:49,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:16_idx2:50,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:17_idx2:52,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:17_idx2:53,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:18_idx2:54,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:18_idx2:55,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:18_idx2:56,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:19_idx2:57,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:19_idx2:58,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:33_idx2:23,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:33_idx2:24,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:33_idx2:25,0,1,-2,2,0,0.999996,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:33_idx2:26,0,1,-2,2,0,0.999992,-1.99998,1.99998
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:33_idx2:27,0,1,-2,2,0,0.99998,-1.99996,1.99996
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:33_idx2:28,0,1,-2,2,0,0.999949,-1.9999,1.9999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:33_idx2:29,0,1,-2,2,0,0.999879,-1.99976,1.99976
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:33_idx2:30,0,1,-2,2,0,0.999742,-1.99948,1.99948
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:34_idx2:17,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:34_idx2:18,0,1,-2,2,0,0.999997,-1.99999,1.99999
pname:mbr_cond_condgr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:0_idx1:34_idx2:19,0,1,-2,2,0,0.999997,-1.99999,1.99999
