time,flux
1.0,-7.55946254545532
2.0,-14.700763568714601
3.0,-14.146866348853951
4.0,-13.536615231395905
5.0,-12.904997232370643
6.0,-12.271810046762262
7.0,-11.648832566612507
8.0,-11.04344552322429
9.0,-10.460396078469177
10.0,-9.902718682165268
11.0,-9.372260416814727
12.0,-8.869850207586396
13.0,-8.396052247517641
14.0,-7.950723021250463
15.0,-7.533363777458937
16.0,-7.1432152077699165
17.0,-6.779327711778489
18.0,-6.44061743665062
19.0,-6.125911148179173
20.0,-5.833982004503784
21.0,-5.563577882955539
22.0,-5.313443608459969
23.0,-5.082338191527617
24.0,-4.869047988964646
25.0,-4.67239654136428
26.0,-4.491251710918506
27.0,-4.3245306354915325
28.0,-4.171202925854345
29.0,-4.03029245907562
30.0,-3.900878059595714
31.0,-3.782093308315662
32.0,-3.6731256773636667
33.0,-3.5732151526304685
34.0,-3.481652476518602
35.0,-3.3977771186581807
36.0,-3.3204814362357733
37.0,-3.249870476353909
38.0,-3.185338352208162
39.0,-3.1263647549286633
40.0,-3.0724779916433205
41.0,-3.02324777884196
42.0,-2.978280171179971
43.0,-2.9372138893049695
44.0,-2.8997174120516402
45.0,-2.8654865078436336
46.0,-2.834242047411813
47.0,-2.8057280193512417
48.0,-2.7797097075737005
49.0,-2.75597200762062
50.0,-2.733541257792203
51.0,-2.713106011270697
52.0,-2.6944932445837444
53.0,-2.677617415305157
54.0,-6.233656554584828
55.0,-14.856553450193523
56.0,-14.272906188353153
57.0,-13.634054121222599
58.0,-12.971443580924898
59.0,-12.3054392513995
60.0,-11.649141567264722
61.0,-11.011162184155326
62.0,-10.397196230417846
63.0,-9.810935208424626
64.0,-9.254635047811663
65.0,-8.7292726803
66.0,-8.235543840336074
67.0,-7.773264438254057
68.0,-7.341814442209604
69.0,-6.940260236464255
70.0,-6.567445152613954
71.0,-6.222060723241229
72.0,-5.902702822631749
73.0,-5.607915616888437
74.0,-5.3362256566099235
75.0,-5.086168008812449
76.0,-4.8563059741890395
77.0,-4.645245650751445
78.0,-4.451646372544126
79.0,-4.274227862410935
80.0,-4.111774782662072
81.0,-3.963139240450467
82.0,-3.8272417005211246
83.0,-3.7030706725579385
84.0,-3.589681470239363
85.0,-3.4861942815836104
86.0,-3.3917917429810043
87.0,-3.3057161706477847
88.0,-3.2267472703071856
89.0,-3.1549425524379866
90.0,-3.0896280344515077
91.0,-3.030222040843444
92.0,-2.9761982430362286
93.0,-2.927078043931966
94.0,-2.882425079637294
95.0,-2.841841002819482
96.0,-2.804962031021973
97.0,-2.7714559658976317
98.0,-2.741019533189293
99.0,-2.713375966336954
100.0,-2.688272791829909
101.0,-2.665479791320801
102.0,-2.64409521570111
103.0,-2.624701760917192
104.0,-2.607110463997984
105.0,-2.591227349667183
106.0,-2.576900764146543
