kper,kstp,k,i,j,AWq
1,1,0,2,46,-4.9347055778205835
1,1,0,3,46,-4.6633272625975835
1,1,0,4,46,-4.622976150899586
1,1,0,5,45,-5.786093861136729
1,1,0,6,45,-5.866394474202721
1,1,0,7,44,-5.927997375268697
1,1,0,8,43,-5.902805561284131
1,1,0,8,54,-5.6689088714324
1,1,0,9,43,-5.920472680448571
1,1,0,9,52,-5.6489777895622915
1,1,0,9,53,-5.680613572820413
1,1,0,10,42,-5.921530861433721
1,1,0,10,50,-5.577001976581094
1,1,0,10,51,-5.620532176628444
1,1,0,11,42,-5.894457758788295
1,1,0,11,48,-5.514757798236811
1,1,0,11,49,-5.743728232528483
1,1,0,12,9,-7.694322481431029
1,1,0,12,42,-5.920545761091054
1,1,0,12,46,-4.862404863963224
1,1,0,12,47,-5.754648141569239
1,1,0,13,10,-7.744679697152133
1,1,0,13,42,-5.900084422124285
1,1,0,13,44,-5.289362599164587
1,1,0,13,45,-5.489277625403023
1,1,0,13,52,-8.40553349465429
1,1,0,13,53,-8.458024844981264
1,1,0,13,54,-8.47421294038605
1,1,0,13,55,-8.490070078515581
1,1,0,14,10,-7.81927141625998
1,1,0,14,11,-7.870493072881319
1,1,0,14,41,-5.986141593737878
1,1,0,14,42,-5.862633955924499
1,1,0,14,43,-5.15497001551207
1,1,0,14,50,-8.255781252303544
1,1,0,14,51,-8.301850444169542
1,1,0,15,12,-7.901681515237423
1,1,0,15,13,-7.959296840320291
1,1,0,15,41,-5.937076593039176
1,1,0,15,48,-8.152029890647727
1,1,0,15,49,-8.227327861379129
1,1,0,16,14,-5.3773164400804685
1,1,0,16,15,-7.8828500970433035
1,1,0,16,16,-7.987925735063246
1,1,0,16,17,-7.928647617227091
1,1,0,16,41,-6.086634961658374
1,1,0,16,46,-8.089072081215257
1,1,0,16,47,-8.10247360757917
1,1,0,17,18,-7.919351954049645
1,1,0,17,41,-6.426694686704899
1,1,0,17,42,-7.914233063030832
1,1,0,17,43,-7.977645312608605
1,1,0,17,44,-8.022760449991019
1,1,0,17,45,-8.04396069340077
1,1,0,18,19,-7.782571947915318
1,1,0,18,20,-7.9040646569540325
1,1,0,18,40,-4.087211199389294
1,1,0,18,42,-7.903237467234244
1,1,0,19,21,-7.923586019651921
1,1,0,19,40,-4.438240644488385
1,1,0,19,41,-7.864597617896306
1,1,0,20,22,-7.90523068620064
1,1,0,20,39,-5.77396745147051
1,1,0,20,41,-7.745699292469665
1,1,0,21,23,-7.949478903559516
1,1,0,21,36,-7.866297329419383
1,1,0,21,37,-7.859566169505385
1,1,0,21,38,-7.804291525557337
1,1,0,21,39,-7.742604226117352
1,1,0,21,40,-7.792888548529283
1,1,0,21,41,-7.791053415755503
1,1,0,22,24,-7.9532949741259555
1,1,0,22,35,-7.877630127598568
1,1,0,23,25,-7.916515613146892
1,1,0,23,26,-7.8978275690822555
1,1,0,23,34,-7.877562286132662
1,1,0,24,27,-7.89372687120598
1,1,0,24,28,-7.870542809023145
1,1,0,24,33,-7.884265999756869
1,1,0,25,29,-7.846684322346668
1,1,0,25,33,-7.866327761267832
1,1,0,26,29,-7.896327743723072
1,1,0,26,32,-7.90142801973179
1,1,0,27,30,-6.050019915905795
1,1,0,27,31,-7.865288606171766
1,1,0,27,32,-7.854260730100031
1,1,0,27,33,-7.8220416815224185
1,1,0,28,32,-7.90229074252019
1,1,0,28,33,-7.809425329724113
1,1,0,29,31,-7.896823602845327
1,1,0,30,31,-7.93196776160277
1,1,0,31,31,-7.8860732614732
1,1,0,32,30,-7.960802089706627
1,1,0,33,27,-7.930642255757806
1,1,0,33,28,-7.894975562511845
1,1,0,33,29,-7.857542313644426
1,1,0,34,25,-8.006911096971617
1,1,0,34,26,-7.982482653866524
1,1,0,35,22,-8.083175257022194
1,1,0,35,23,-8.064683617602796
1,1,0,35,24,-8.049762676487912
1,1,0,36,14,-8.165610463550149
1,1,0,36,15,-8.15589904651344
1,1,0,36,16,-8.151357424327287
1,1,0,36,17,-8.144051447586317
1,1,0,36,18,-8.135592402491085
1,1,0,36,19,-8.125972714779905
1,1,0,36,20,-8.116424663661785
1,1,0,36,21,-8.112143804812476
1,1,0,37,14,-8.180014532930059
1,1,0,38,12,-8.202898061090636
1,1,0,38,13,-8.197812744592806
1,1,0,39,11,-8.214604167462138
1,1,0,40,9,-8.220838940714582
1,1,0,40,10,-8.194639077325185
1,1,0,41,7,-8.259123785411038
1,1,0,41,8,-8.2385132622431
1,1,0,42,6,-8.282444593323518
1,1,0,43,5,-8.286795383928059
1,1,0,44,3,-7.399425182968534
1,1,0,44,4,-7.457174563973975
2,1,0,2,46,-13.535305756590372
2,1,0,3,46,-13.535785953462394
2,1,0,4,46,-13.537535045770921
2,1,0,5,45,-13.548940348369966
2,1,0,6,45,-13.537830125971272
2,1,0,7,44,-13.545469595317766
2,1,0,8,43,-13.54361910816254
2,1,0,8,54,-13.378523726586467
2,1,0,9,43,-13.516090383517883
2,1,0,9,52,-13.408349017980836
2,1,0,9,53,-13.395907170936423
2,1,0,10,42,-13.514096859272195
2,1,0,10,50,-13.41348619481853
2,1,0,10,51,-13.40457084754733
2,1,0,11,42,-13.476260285314414
2,1,0,11,48,-13.41132043654382
2,1,0,11,49,-13.404697345506209
2,1,0,12,9,-13.813272863496998
2,1,0,12,42,-13.43996070688792
2,1,0,12,46,-13.402295798219951
2,1,0,12,47,-13.398796705595803
2,1,0,13,10,-13.83100845862588
2,1,0,13,42,-13.40327632906376
2,1,0,13,44,-13.384782199590195
2,1,0,13,45,-13.385149378097509
2,1,0,13,52,-13.396744307902607
2,1,0,13,53,-13.39479030396145
2,1,0,13,54,-13.396073540037058
2,1,0,13,55,-13.397276996625159
2,1,0,14,10,-13.839780718753305
2,1,0,14,11,-13.836127224839602
2,1,0,14,41,-13.414165458256953
2,1,0,14,42,-13.372398218750673
2,1,0,14,43,-13.367142421738448
2,1,0,14,50,-13.401859034728686
2,1,0,14,51,-13.408936815476697
2,1,0,15,12,-13.843192441694118
2,1,0,15,13,-13.839230035347555
2,1,0,15,41,-13.386928586956515
2,1,0,15,48,-13.396497843118782
2,1,0,15,49,-13.408706721646727
2,1,0,16,14,-13.839638531875092
2,1,0,16,15,-13.829317197434166
2,1,0,16,16,-13.826335502746316
2,1,0,16,17,-13.831138193151423
2,1,0,16,41,-13.36080410258909
2,1,0,16,46,-13.37938130010112
2,1,0,16,47,-13.396317870438024
2,1,0,17,18,-13.831289385404736
2,1,0,17,41,-13.333960740566557
2,1,0,17,42,-13.31547210090938
2,1,0,17,43,-13.325963271911727
2,1,0,17,44,-13.344814052652831
2,1,0,17,45,-13.370058302399789
2,1,0,18,19,-13.82290374334681
2,1,0,18,20,-13.817299437821926
2,1,0,18,40,-13.352419357936585
2,1,0,18,42,-13.31634199121828
2,1,0,19,21,-13.813459472027922
2,1,0,19,40,-13.32095427479884
2,1,0,19,41,-13.302130392481898
2,1,0,20,22,-13.80364740798057
2,1,0,20,39,-13.3397218568634
2,1,0,20,41,-13.291587395050477
2,1,0,21,23,-13.789711851609615
2,1,0,21,36,-13.482503008729813
2,1,0,21,37,-13.428179353651112
2,1,0,21,38,-13.373448025916849
2,1,0,21,39,-13.31771353180713
2,1,0,21,40,-13.280507492311285
2,1,0,21,41,-13.28102147910477
2,1,0,22,24,-13.7719613236436
2,1,0,22,35,-13.526628213918254
2,1,0,23,25,-13.74920048635912
2,1,0,23,26,-13.726255265775137
2,1,0,23,34,-13.562475844138191
2,1,0,24,27,-13.706969336301588
2,1,0,24,28,-13.683780584376906
2,1,0,24,33,-13.586707148143455
2,1,0,25,29,-13.666765422900351
2,1,0,25,33,-13.602801367758866
2,1,0,26,29,-13.686369867377884
2,1,0,26,32,-13.627910915781928
2,1,0,27,30,-13.69485593435209
2,1,0,27,31,-13.669419316165353
2,1,0,27,32,-13.661518117023375
2,1,0,27,33,-13.693550337656433
2,1,0,28,32,-13.748627917864058
2,1,0,28,33,-13.792524737573922
2,1,0,29,31,-13.832109644214984
2,1,0,30,31,-13.935582160148854
2,1,0,31,31,-14.057844703307222
2,1,0,32,30,-14.136970156836147
2,1,0,33,27,-14.273034325050832
2,1,0,33,28,-14.279063980840538
2,1,0,33,29,-14.279394447365652
2,1,0,34,25,-14.367360436265493
2,1,0,34,26,-14.38443137042963
2,1,0,35,22,-14.415030896022145
2,1,0,35,23,-14.430412691653917
2,1,0,35,24,-14.454074321284576
2,1,0,36,14,-14.243236650034607
2,1,0,36,15,-14.262239383704797
2,1,0,36,16,-14.310131934170393
2,1,0,36,17,-14.339231824296828
2,1,0,36,18,-14.368598556077332
2,1,0,36,19,-14.393125021429647
2,1,0,36,20,-14.416966376694347
2,1,0,36,21,-14.45139097273799
2,1,0,37,14,-14.337499405428956
2,1,0,38,12,-14.350072933559472
2,1,0,38,13,-14.373508739477652
