kper,time,spring,awanui,poukawa,pk4,kstp,pk4-aw-diff,pk4-pw-diff,pk4-spr-diff,fliptime
1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-1
2,51.0,-0.010613602095045138,-0.15806670260543854,-0.03242997592916552,-0.0002041077325970219,51,-0.0048028851520183725,-0.0006019818827875945,-0.004074439959710659,-1
3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-1
4,51.0,-0.010260933591284882,-0.009620664616635466,-0.08148820268724677,-0.00019732564598624774,51,-0.0023061708924752697,-0.0023061708924752697,-0.0023061708924752697,-1
