,time,kper,kstp,sample,flux,package
0,1.0,1,1,spring,-0.20784207337728022,GHB_SP
1,2.0,2,1,spring,-0.20782508903353158,GHB_SP
2,3.0,2,2,spring,-0.2078081916956327,GHB_SP
3,4.0,2,3,spring,-0.20779137082518107,GHB_SP
4,5.0,2,4,spring,-0.20789960416333997,GHB_SP
5,6.0,2,5,spring,-0.20799479259362075,GHB_SP
6,7.0,2,6,spring,-0.20819099398724694,GHB_SP
7,8.0,2,7,spring,-0.2082801363004616,GHB_SP
8,9.0,2,8,spring,-0.2083648986405222,GHB_SP
9,10.0,2,9,spring,-0.2084403671042624,GHB_SP
10,11.0,2,10,spring,-0.20864804649333102,GHB_SP
11,12.0,2,11,spring,-0.20877234337741324,GHB_SP
12,13.0,2,12,spring,-0.20901737446433277,GHB_SP
13,14.0,2,13,spring,-0.20924124256192345,GHB_SP
14,15.0,2,14,spring,-0.20941556076494727,GHB_SP
15,16.0,2,15,spring,-0.20965876453156163,GHB_SP
16,17.0,2,16,spring,-0.20988014926468657,GHB_SP
17,18.0,2,17,spring,-0.2100158923704334,GHB_SP
18,19.0,2,18,spring,-0.21012078353229013,GHB_SP
19,20.0,2,19,spring,-0.21021778507519207,GHB_SP
20,21.0,2,20,spring,-0.2102552451664531,GHB_SP
21,22.0,2,21,spring,-0.21046043885389487,GHB_SP
22,23.0,2,22,spring,-0.2106868933424927,GHB_SP
23,24.0,2,23,spring,-0.2110691975881286,GHB_SP
24,25.0,2,24,spring,-0.21157715841808544,GHB_SP
25,26.0,2,25,spring,-0.21225312015557662,GHB_SP
26,27.0,2,26,spring,-0.21297166700830483,GHB_SP
27,28.0,2,27,spring,-0.21391351748953935,GHB_SP
28,29.0,2,28,spring,-0.21488621836381905,GHB_SP
29,30.0,2,29,spring,-0.21565766640597306,GHB_SP
30,31.0,2,30,spring,-0.21641279201147412,GHB_SP
31,32.0,2,31,spring,-0.21732940612882745,GHB_SP
32,33.0,2,32,spring,-0.21816253447052425,GHB_SP
33,34.0,2,33,spring,-0.21879524101751102,GHB_SP
34,35.0,2,34,spring,-0.21968614140711495,GHB_SP
35,36.0,2,35,spring,-0.22064509278012845,GHB_SP
36,37.0,2,36,spring,-0.22136071258071655,GHB_SP
37,38.0,2,37,spring,-0.22199935739499022,GHB_SP
