kper,awanui,poukawa,spring,inout,percentdiscrepancy,recharge,stoss,total,sw
1,-53.6623,-50.646454,-46.1648,-0.1415,-0.09,150.332,0.0,-0.14151001,-150.47356
2,-85.1031,-54.9519,-76.6657,-2.2299e-06,-0.0,129.682,87.0387,0.0,-216.7207
3,-60.8383,-37.1779,-52.134,0.1817,0.12,150.332,0.0,0.18170166,-150.15019
4,-78.8709,-43.2698,-67.0987,-1.4741e-06,-0.0,129.682,59.5574,0.0,-189.23941
