time,spring,awanui,poukawa,pk4,kper,kstp,pk4-aw-diff,pk4-pw-diff,pk4-spr-diff
1.0,7.9369977696676886,7.456240346315033,7.830675202891403,7.9369977696676886,1,1,-0.7169977696676888,-0.2769977696676884,-0.3469977696676887
2.0,7.9368235396652,7.455783155317767,7.830432520495501,7.9368235396652,2,1,-0.7221871796652,-0.27824020966520013,-0.3468235396652002
3.0,7.936659078795202,7.455094525725948,7.830140532717914,7.936659078795202,2,2,-0.7271765587952022,-0.2793257487952019,-0.3466590787952022
4.0,7.936503001915563,7.454198085633016,7.829754421199611,7.936503001915563,2,3,-0.7321523519155626,-0.28136967191556295,-0.34650300191556305
5.0,7.936275789371257,7.452940946179052,7.82932202767817,7.936275789371257,2,4,-0.7403727593712572,-0.28254245937125777,-0.34765667937125766
6.0,7.935996092196593,7.451344286470001,7.828846847998982,7.935996092196593,2,5,-0.7487972321965932,-0.2836627621965926,-0.3486138321965928
7.0,7.93560790527007,7.449480879697554,7.828352524331791,7.93560790527007,2,6,-0.7563244852700697,-0.2842745752700697,-0.3505785252700697
8.0,7.935193579547331,7.447391469167034,7.827860930624693,7.935193579547331,2,7,-0.7635016595473312,-0.2844602495473305,-0.35133487954733056
9.0,7.934758590361718,7.445191864291369,7.827218743906935,7.934758590361718,2,8,-0.7688064403617183,-0.2876252603617182,-0.3520221103617178
10.0,7.934310696025905,7.44299763526456,7.826386047092607,7.934310696025905,2,9,-0.7720243360259049,-0.2917773660259053,-0.3525936760259052
11.0,7.933767806922437,7.440714055600278,7.825376982746099,7.933767806922437,2,10,-0.7768933469224368,-0.2958344769224368,-0.3545308369224367
12.0,7.93319500469144,7.438155310837725,7.824214910438272,7.93319500469144,2,11,-0.7854157846914394,-0.29966167469144,-0.35551754469143937
13.0,7.932519506502397,7.435452388350366,7.822901059364171,7.932519506502397,2,12,-0.7917879065023969,-0.30358617650239683,-0.35773560650239666
14.0,7.9317680785383855,7.432703003217835,7.821589677451854,7.9317680785383855,2,13,-0.7964174285383852,-0.3046347485383851,-0.3596447885383851
15.0,7.93098099789286,7.429876117507444,7.820331676566644,7.93098099789286,2,14,-0.8016303478928597,-0.30464766789286024,-0.3609715478928601
16.0,7.930118215813996,7.426718446755773,7.819143440838674,7.930118215813996,2,15,-0.8117199458139961,-0.3041848858139966,-0.36298400581399637
17.0,7.929202416868909,7.4232919718947326,7.818019591440476,7.929202416868909,2,16,-0.821137476868909,-0.3036690868689096,-0.36470311686890966
18.0,7.928292826044081,7.419671814339457,7.81696524992691,7.928292826044081,2,17,-0.8295612260440812,-0.3029594960440809,-0.3654827960440814
19.0,7.927405671253712,7.415843506377085,7.815974878931806,7.927405671253712,2,18,-0.8385788312537121,-0.3022723412537127,-0.36594406125371215
20.0,7.926540712474893,7.4118558441589135,7.815043302853037,7.926540712474893,2,19,-0.8469995824748926,-0.3016073824748924,-0.36634020247489296
21.0,7.925730470751738,7.407717910283619,7.814155497358461,7.925730470751738,2,20,-0.8555226807517373,-0.30119714075173754,-0.36613306075173746
22.0,7.924860498080582,7.403579096974462,7.813317963602353,7.924860498080582,2,21,-0.861319368080582,-0.3005271680805821,-0.36771886808058163
23.0,7.923925227607246,7.399445024314437,7.8125163193231675,7.923925227607246,2,22,-0.8668602876072455,-0.29999189760724576,-0.369474847607246
24.0,7.922835215014039,7.395340895001521,7.811757681640702,7.922835215014039,2,23,-0.8716750450140385,-0.29910188501403834,-0.37279862501403827
25.0,7.921532652404227,7.391292178875523,7.811038462072406,7.921532652404227,2,24,-0.8756581924042264,-0.2979993224042268,-0.37729970240422706
26.0,7.9199408223935635,7.387322134176533,7.810355364513219,7.9199408223935635,2,25,-0.8787330323935638,-0.2966074923935631,-0.38336983239356304
27.0,7.918071824601496,7.3834198420401345,7.809695158591409,7.918071824601496,2,26,-0.881530694601496,-0.29513849460149544,-0.3896363246014962
28.0,7.915821399079804,7.3796055836297105,7.809055834658237,7.915821399079804,2,27,-0.8833755090798041,-0.29328806907980365,-0.39799157907980387
29.0,7.913220065881147,7.375843418036424,7.808435570513721,7.913220065881147,2,28,-0.8853456058811471,-0.2910867358811471,-0.4063409558811468
30.0,7.910437988185092,7.372069108091357,7.807832714499861,7.910437988185092,2,29,-0.8882301981850915,-0.2887046581850923,-0.41229014818509224
31.0,7.907503538102854,7.368232481488255,7.807255978280824,7.907503538102854,2,30,-0.8919147981028539,-0.2859702081028539,-0.4179092081028539
32.0,7.904329411579995,7.364484195771368,7.806703248897262,7.904329411579995,2,31,-0.8925501915799945,-0.282996081579995,-0.42507511157999467
33.0,7.900994692348084,7.360786362370783,7.806172590385954,7.900994692348084,2,32,-0.893548802348084,-0.27986136234808345,-0.4311612523480832
34.0,7.897639897932657,7.357045682727293,7.805672439117659,7.897639897932657,2,33,-0.8961940079326567,-0.2765065679326568,-0.4350155179326567
35.0,7.8940975968771445,7.353260113933923,7.805190209252495,7.8940975968771445,2,34,-0.8987469468771447,-0.2731642668771448,-0.44153608687714474
36.0,7.890344695283262,7.3494475932113295,7.804724469124205,7.890344695283262,2,35,-0.9008035652832618,-0.2696113652832617,-0.44860066528326215
37.0,7.886556471147557,7.345634131701222,7.804263705453736,7.886556471147557,2,36,-0.902348681147557,-0.26622314114755685,-0.4529445511475574
38.0,7.882778086776533,7.341872880280881,7.803807485602027,7.882778086776533,2,37,-0.902856006776533,-0.2628447567765324,-0.45644924677653265
