kper,kstp,time,k,i,j,CONFq
1,1,1.0,0,1,27,-0.256467339329447
1,1,1.0,0,1,28,-0.2565322308764735
1,1,1.0,0,1,29,-0.2566588411787052
1,1,1.0,0,1,30,-0.2567591165648082
1,1,1.0,0,1,31,-0.25658234606976293
1,1,1.0,0,1,32,-0.25640806765386515
1,1,1.0,0,1,33,-0.25613934593479826
1,1,1.0,0,1,34,-0.2554203284610139
1,1,1.0,0,1,35,-0.2561964325113877
1,1,1.0,0,1,36,-0.25615246404231584
1,1,1.0,0,1,37,-0.2561565966529997
1,1,1.0,0,1,38,-0.2563738750995981
1,1,1.0,0,1,39,-0.2561042746674502
1,1,1.0,0,1,40,-0.2561511009844253
1,1,1.0,0,1,41,-0.2561808366949663
1,1,1.0,0,1,42,-0.2562442719245155
1,1,1.0,0,2,24,-0.2529352670987919
1,1,1.0,0,2,25,-0.2587637899030142
1,1,1.0,0,2,26,-0.2575635785342456
1,1,1.0,0,2,27,-0.2562963227533146
1,1,1.0,0,2,28,-0.256298352976728
1,1,1.0,0,2,29,-0.2563073717944917
1,1,1.0,0,2,30,-0.25610962519544955
1,1,1.0,0,2,31,-0.2563091713650465
1,1,1.0,0,2,32,-0.2562671745940861
1,1,1.0,0,2,33,-0.25616944812600195
1,1,1.0,0,2,34,-0.2557278989329461
1,1,1.0,0,2,35,-0.2564308663986594
1,1,1.0,0,2,36,-0.256386597668552
1,1,1.0,0,2,37,-0.2563925329545782
1,1,1.0,0,2,38,-0.2566306040366726
1,1,1.0,0,2,39,-0.25626373783188683
1,1,1.0,0,2,40,-0.25625050995859056
1,1,1.0,0,2,41,-0.2562149607942956
1,1,1.0,0,2,42,-0.25599614807015314
1,1,1.0,0,2,43,-0.2562767898543825
1,1,1.0,0,2,44,-0.2562038235369073
1,1,1.0,0,2,45,-0.24843283686550421
1,1,1.0,0,2,46,0.6813719196411512
1,1,1.0,0,2,47,-0.24845177038105248
1,1,1.0,0,3,21,-0.24382131865763768
1,1,1.0,0,3,22,-0.26132705988266025
1,1,1.0,0,3,23,-0.26268713319814196
1,1,1.0,0,3,24,-0.2607417698031895
1,1,1.0,0,3,25,-0.2595947635095399
1,1,1.0,0,3,26,-0.25768011003629
1,1,1.0,0,3,27,-0.2563179275928178
1,1,1.0,0,3,28,-0.2563191969941272
1,1,1.0,0,3,29,-0.2562796183146929
1,1,1.0,0,3,30,-0.2556927208872821
1,1,1.0,0,3,31,-0.2562754585123912
1,1,1.0,0,3,32,-0.2562284570315114
1,1,1.0,0,3,33,-0.25614760659209423
1,1,1.0,0,3,34,-0.25580730949241115
1,1,1.0,0,3,35,-0.2564203002348222
1,1,1.0,0,3,36,-0.2563756676631783
1,1,1.0,0,3,37,-0.25638866756844436
1,1,1.0,0,3,38,-0.2566586609764272
1,1,1.0,0,3,39,-0.2562750025940659
1,1,1.0,0,3,40,-0.2562633295287924
1,1,1.0,0,3,41,-0.25621527738212535
1,1,1.0,0,3,42,-0.2558986779249608
1,1,1.0,0,3,43,-0.25627732225166255
1,1,1.0,0,3,44,-0.25612966549715566
1,1,1.0,0,3,45,-0.24533030825659807
1,1,1.0,0,3,46,0.7845144895709382
1,1,1.0,0,3,47,-0.2468186590986079
1,1,1.0,0,3,48,-0.256079387758291
1,1,1.0,0,4,18,-0.1361550254869428
1,1,1.0,0,4,19,-0.2649868780720226
1,1,1.0,0,4,20,-0.2922139284376044
1,1,1.0,0,4,21,-0.2792938424248632
1,1,1.0,0,4,22,-0.2734137148181617
1,1,1.0,0,4,23,-0.2664460474097723
1,1,1.0,0,4,24,-0.26251313406419285
1,1,1.0,0,4,25,-0.26028217748898896
1,1,1.0,0,4,26,-0.2579903892983566
1,1,1.0,0,4,27,-0.2563383923090896
1,1,1.0,0,4,28,-0.25607788539809917
1,1,1.0,0,4,29,-0.2555846665422905
1,1,1.0,0,4,30,-0.25344678100850615
1,1,1.0,0,4,31,-0.25306012747296336
1,1,1.0,0,4,32,-0.2528465605846577
1,1,1.0,0,4,33,-0.25290240492518024
1,1,1.0,0,4,34,-0.25287549587255853
1,1,1.0,0,4,35,-0.2540259366032842
1,1,1.0,0,4,36,-0.25467064749318524
1,1,1.0,0,4,37,-0.25548744930756584
1,1,1.0,0,4,38,-0.2566966410322493
1,1,1.0,0,4,39,-0.2562997283671393
1,1,1.0,0,4,40,-0.25624721741041867
1,1,1.0,0,4,41,-0.25611972079650513
