kper,time,spring,awanui,poukawa,pk4,kstp,pk4-spr-diff,pk4-conf-diff,fliptime
1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-1
2,51.0,-0.03431329771264835,0.04153455245486093,-0.018985658821455864,-0.0006598711098586221,51,-0.0036186765824490594,-0.04604677542860293,-1
3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-1
4,51.0,-0.052852762829139976,-0.009019487313675967,-0.06285916530614877,-0.0010163992851757687,51,-0.003990593791747299,-0.01783426167636269,-1
