,time,level_mRL,sm_abs_val
1,2023-12-06,14.001052631578947,0.0
2,2023-12-07,13.952078947368422,-0.04897368421052484
3,2023-12-08,13.903105263157896,-0.09794736842105145
4,2023-12-09,13.854131578947369,-0.14692105263157806
5,2023-12-10,13.805157894736842,-0.19589473684210468
6,2023-12-11,13.756184210526316,-0.2448684210526313
7,2023-12-12,13.707210526315789,-0.2938421052631579
8,2023-12-13,13.658236842105264,-0.34281578947368274
9,2023-12-14,13.609263157894738,-0.39178947368420936
10,2023-12-15,13.560289473684211,-0.44076315789473597
11,2023-12-16,13.511315789473684,-0.4897368421052626
12,2023-12-17,13.462342105263158,-0.5387105263157892
13,2023-12-18,13.413368421052633,-0.587684210526314
14,2023-12-19,13.364394736842106,-0.6366578947368406
15,2023-12-20,13.31542105263158,-0.6856315789473673
16,2023-12-21,13.266447368421053,-0.7346052631578939
17,2023-12-22,13.217473684210526,-0.7835789473684205
18,2023-12-23,13.168500000000002,-0.8325526315789453
19,2023-12-24,13.119526315789475,-0.8815263157894719
20,2023-12-25,13.070552631578948,-0.9304999999999986
21,2023-12-26,13.021578947368422,-0.9794736842105252
22,2023-12-27,12.972605263157895,-1.0284473684210518
23,2023-12-28,12.923631578947369,-1.0774210526315784
24,2023-12-29,12.874657894736844,-1.1263947368421032
25,2023-12-30,12.825684210526317,-1.1753684210526298
26,2023-12-31,12.77671052631579,-1.2243421052631565
27,2024-01-01,12.727736842105264,-1.273315789473683
28,2024-01-02,12.678763157894737,-1.3222894736842097
29,2024-01-03,12.629789473684212,-1.3712631578947345
30,2024-01-04,12.580815789473686,-1.4202368421052611
31,2024-01-05,12.53184210526316,-1.4692105263157877
32,2024-01-06,12.482868421052633,-1.5181842105263144
33,2024-01-07,12.433894736842106,-1.567157894736841
34,2024-01-08,12.38492105263158,-1.6161315789473676
35,2024-01-09,12.335947368421055,-1.6651052631578924
36,2024-01-10,12.286973684210528,-1.714078947368419
37,2024-01-11,12.238000000000001,-1.7630526315789457
38,2024-01-12,12.193333333333335,-1.8077192982456118
39,2024-01-13,12.148666666666667,-1.8523859649122798
40,2024-01-14,12.104000000000001,-1.897052631578946
41,2024-01-15,12.059333333333335,-1.9417192982456122
42,2024-01-16,12.014666666666669,-1.9863859649122784
43,2024-01-17,11.97,-2.0310526315789463
44,2024-01-18,11.925333333333334,-2.0757192982456125
45,2024-01-19,11.880666666666668,-2.1203859649122787
46,2024-01-20,11.836,-2.1650526315789467
47,2024-01-21,11.791333333333334,-2.209719298245613
48,2024-01-22,11.746666666666668,-2.254385964912279
49,2024-01-23,11.702000000000002,-2.2990526315789452
50,2024-01-24,11.657333333333334,-2.343719298245613
51,2024-01-25,11.612666666666668,-2.3883859649122794
52,2024-01-26,11.568000000000001,-2.4330526315789456
53,2024-01-27,11.523333333333333,-2.4777192982456135
