Iteration,Group,Pname,Category,Subcategory,Mean,Std,CV,N_Params
0,pg0,npfklayer1-gr,Hydraulic Conductivity,K-grid,2.9860722204286176,7.169210813568093,240.08832621399333,191
0,pg1,npfklayer1-pp,Hydraulic Conductivity,K-pilot,3.2083285719913426,7.580979982118961,236.29063582517068,29
0,pg2,npfklayer1-cn,Hydraulic Conductivity,K-constant,3.237700478612726,7.98717808896169,246.69292733291982,1
0,pg3,stosslayer1-gr,Storage,S-grid,10.913970442243357,53.04033707145943,485.98571301020525,191
0,pg4,stosslayer1-pp,Storage,S-pilot,11.762311944512875,60.55504713565353,514.8226591958606,29
0,pg5,stosslayer1-cn,Storage,S-constant,12.283911110131381,42.19093794756125,343.4650215985648,1
0,pg6,rchss-gr,Recharge,RCH-steady,3.1141873188967226,7.346232998064219,235.89566862236157,191
0,pg7,rchss-pp,Recharge,RCH-steady,3.3872775549373726,7.667150947078245,226.35142301528944,29
0,pg8,rchss-cn,Recharge,RCH-steady,2.9777659524053477,6.912488858004058,232.1367417214359,1
0,pg9,rchtr-gr,Recharge,RCH-transient,3.454044160803925,8.074512337762688,233.76980611282497,191
0,pg10,rchtr-pp,Recharge,RCH-transient,3.4283866963605365,7.902280774336406,230.49560840745323,29
0,pg11,rchtr-cn,Recharge,RCH-transient,4.377976113022096,10.616837827794305,242.50561340924156,1
0,pg12,ghbaw-cond-gr,GHB Conductance,GHB-Awanui-cond,316390.11194516404,4800169.020336203,1517.1678377762187,419
0,pg13,ghbaw-cond-cn,GHB Conductance,GHB-Awanui-cond,169041.0928218695,1868906.5297203106,1105.5930238747976,1
0,pg14,ghbpw-cond-gr,GHB Conductance,GHB-Poukawa-cond,153798.62032967215,3003276.6350172493,1952.7331445364282,25
0,pg15,ghbpw-cond-cn,GHB Conductance,GHB-Poukawa-cond,48688.94416688948,503934.0393559451,1035.0071211826387,1
0,pg16,ghbspring-cond-gr,GHB Conductance,GHB-Spring-cond,197774.56724076826,3465258.440673379,1752.1254067287718,11
0,pg17,ghbspring-cond-cn,GHB Conductance,GHB-Spring-cond,858455.3564959583,8914697.5076956,1038.457904681683,1
0,pg18,ghbconf-cond-gr,GHB Conductance,GHB-Confined-cond,379767.34756819386,5151204.246520317,1356.41051804627,1432
0,pg19,ghbconf-cond-cn,GHB Conductance,GHB-Confined-cond,18331.116839895785,216647.49155279604,1181.8564763129168,1
0,pg20,ghbaw1-head-hg,GHB Head,GHB-Awanui-head,-0.002484394124452523,0.16785335949572558,-6756.309630731992,121
0,pg21,ghbaw1-head-cn,GHB Head,GHB-Awanui-head,-0.005980629436287698,0.16660995970065198,-2785.8264999623566,1
0,pg22,ghbaw3-head-hg,GHB Head,GHB-Awanui-head,0.004915072477383367,0.1638049180800268,3332.7060553790957,340
0,pg23,ghbaw3-head-cn,GHB Head,GHB-Awanui-head,0.008368389222454208,0.16982612011589682,2029.3764498933247,1
0,pg24,s,Other,Other,0.00047482574444958017,0.16512441581347095,34775.792539404916,419
0,pg25,s,Other,Other,0.0005084935236339432,0.16622087453850878,32688.887235104427,419
0,pg26,s,Other,Other,-0.00014168202448683174,0.16589379593822332,-117088.80963487492,419
