1.128499984741210938e+01 1.135799980163574219e+01 1.108100032806396484e+01 1.118900012969970703e+01 1.118000030517578125e+01 1.120899963378906250e+01 1.169400024414062500e+01 1.111200046539306641e+01 1.116499996185302734e+01 1.112899971008300781e+01 1.128899955749511719e+01 1.160999965667724609e+01 1.226299953460693359e+01 1.105300045013427734e+01 1.086699962615966797e+01 1.061400032043457031e+01 1.087300014495849609e+01 1.164400005340576172e+01 1.137600040435791016e+01 1.189700031280517578e+01 1.090699958801269531e+01 1.106799983978271484e+01 1.105300045013427734e+01 1.089500045776367188e+01 1.042399978637695312e+01 1.073999977111816406e+01 1.133600044250488281e+01 1.166899967193603516e+01 1.165900039672851562e+01 1.225000000000000000e+01 1.193599987030029297e+01 1.153699970245361328e+01 1.155300045013427734e+01 1.122399997711181641e+01 1.223900032043457031e+01 1.260900020599365234e+01 1.199300003051757812e+01 1.094900035858154297e+01 1.245600032806396484e+01 1.451599979400634766e+01
1.147099971771240234e+01 1.148999977111816406e+01 1.139500045776367188e+01 1.143999958038330078e+01 1.129300022125244141e+01 1.183600044250488281e+01 1.205700016021728516e+01 1.102299976348876953e+01 1.095499992370605469e+01 1.110999965667724609e+01 1.127600002288818359e+01 1.189799976348876953e+01 1.148799991607666016e+01 1.163399982452392578e+01 1.075599956512451172e+01 1.075300025939941406e+01 1.124600028991699219e+01 1.123999977111816406e+01 1.084500026702880859e+01 1.085700035095214844e+01 1.094499969482421875e+01 1.086999988555908203e+01 1.074400043487548828e+01 1.035099983215332031e+01 1.076700019836425781e+01 1.100899982452392578e+01 1.142399978637695312e+01 1.230399990081787109e+01 1.153999996185302734e+01 1.156000041961669922e+01 1.157999992370605469e+01 1.158199977874755859e+01 1.145800018310546875e+01 1.101299953460693359e+01 1.266300010681152344e+01 1.262100028991699219e+01 1.030000019073486328e+01 1.249499988555908203e+01 1.504199981689453125e+01 1.819400024414062500e+01
1.130000019073486328e+01 1.164400005340576172e+01 1.141499996185302734e+01 1.143599987030029297e+01 1.142399978637695312e+01 1.116800022125244141e+01 1.139700031280517578e+01 1.125500011444091797e+01 1.101500034332275391e+01 1.112600040435791016e+01 1.123499965667724609e+01 1.110400009155273438e+01 1.100800037384033203e+01 1.186900043487548828e+01 1.143999958038330078e+01 1.088399982452392578e+01 1.069900035858154297e+01 1.078800010681152344e+01 1.093400001525878906e+01 1.092099952697753906e+01 1.077299976348876953e+01 1.052000045776367188e+01 1.102299976348876953e+01 1.168599987030029297e+01 1.170400047302246094e+01 1.117800045013427734e+01 1.152700042724609375e+01 1.169799995422363281e+01 1.168000030517578125e+01 1.156000041961669922e+01 1.149400043487548828e+01 1.158100032806396484e+01 1.131099987030029297e+01 1.180200004577636719e+01 1.269999980926513672e+01 1.309799957275390625e+01 1.114000034332275391e+01 1.464500045776367188e+01 1.812700080871582031e+01 2.092399978637695312e+01
1.104300022125244141e+01 1.109500026702880859e+01 1.108800029754638672e+01 1.106700038909912109e+01 1.105700016021728516e+01 1.093099975585937500e+01 1.099400043487548828e+01 1.101099967956542969e+01 1.093999958038330078e+01 1.081499958038330078e+01 1.118999958038330078e+01 1.112699985504150391e+01 1.167500019073486328e+01 1.184000015258789062e+01 1.173900032043457031e+01 1.070100021362304688e+01 1.122200012207031250e+01 1.093099975585937500e+01 1.144999980926513672e+01 1.104599952697753906e+01 1.052799987792968750e+01 1.081000041961669922e+01 1.127799987792968750e+01 1.167099952697753906e+01 1.119200038909912109e+01 1.130099964141845703e+01 1.154699993133544922e+01 1.167700004577636719e+01 1.163799953460693359e+01 1.149199962615966797e+01 1.151599979400634766e+01 1.156299972534179688e+01 1.115999984741210938e+01 1.243999958038330078e+01 1.272500038146972656e+01 1.222099971771240234e+01 1.356400012969970703e+01 1.595499992370605469e+01 1.900300025939941406e+01 2.121100044250488281e+01
1.112600040435791016e+01 1.107499980926513672e+01 1.107400035858154297e+01 1.106599998474121094e+01 1.104800033569335938e+01 1.097599983215332031e+01 1.093500041961669922e+01 1.099300003051757812e+01 1.097299957275390625e+01 1.094699954986572266e+01 1.103999996185302734e+01 1.109599971771240234e+01 1.162800025939941406e+01 1.184200000762939453e+01 1.108399963378906250e+01 1.078100013732910156e+01 1.201200008392333984e+01 1.175599956512451172e+01 1.103800010681152344e+01 1.056200027465820312e+01 1.021100044250488281e+01 1.109000015258789062e+01 1.141399955749511719e+01 1.109000015258789062e+01 1.113599967956542969e+01 1.132299995422363281e+01 1.141600036621093750e+01 1.179800033569335938e+01 1.167300033569335938e+01 1.137500000000000000e+01 1.152400016784667969e+01 1.153999996185302734e+01 1.099600028991699219e+01 1.328199958801269531e+01 1.280200004577636719e+01 1.234899997711181641e+01 1.579399967193603516e+01 1.683500003814697266e+01 1.869400024414062500e+01 2.089200019836425781e+01
1.111400032043457031e+01 1.114099979400634766e+01 1.109099960327148438e+01 1.104599952697753906e+01 1.103600025177001953e+01 1.100699996948242188e+01 1.096300029754638672e+01 1.091199970245361328e+01 1.090699958801269531e+01 1.087500000000000000e+01 1.080200004577636719e+01 1.097000026702880859e+01 1.123099994659423828e+01 1.149499988555908203e+01 1.092800045013427734e+01 1.126200008392333984e+01 1.171800041198730469e+01 1.167500019073486328e+01 1.056999969482421875e+01 1.067899990081787109e+01 1.048499965667724609e+01 1.108699989318847656e+01 1.105399990081787109e+01 1.106599998474121094e+01 1.123900032043457031e+01 1.123299980163574219e+01 1.144600009918212891e+01 1.161800003051757812e+01 1.160900020599365234e+01 1.152299976348876953e+01 1.152900028228759766e+01 1.148799991607666016e+01 1.178499984741210938e+01 1.301500034332275391e+01 1.289599990844726562e+01 1.230700016021728516e+01 1.705500030517578125e+01 1.770599937438964844e+01 1.897599983215332031e+01 2.076700019836425781e+01
1.115400028228759766e+01 1.116100025177001953e+01 1.111900043487548828e+01 1.107499980926513672e+01 1.104100036621093750e+01 1.096100044250488281e+01 1.098200035095214844e+01 1.095499992370605469e+01 1.090699958801269531e+01 1.076299953460693359e+01 1.047399997711181641e+01 1.087100028991699219e+01 1.090299987792968750e+01 1.100000000000000000e+01 1.094400024414062500e+01 1.125000000000000000e+01 1.118999958038330078e+01 1.070400047302246094e+01 1.060099983215332031e+01 1.089799976348876953e+01 1.075300025939941406e+01 1.121700000762939453e+01 1.110000038146972656e+01 1.113000011444091797e+01 1.130799961090087891e+01 1.155900001525878906e+01 1.156799983978271484e+01 1.216100025177001953e+01 1.174499988555908203e+01 1.140200042724609375e+01 1.154800033569335938e+01 1.139400005340576172e+01 1.204500007629394531e+01 1.334599971771240234e+01 1.281099987030029297e+01 1.158500003814697266e+01 1.707799911499023438e+01 1.771899986267089844e+01 1.891900062561035156e+01 2.069499969482421875e+01
1.110000038146972656e+01 1.110000038146972656e+01 1.108300018310546875e+01 1.104599952697753906e+01 1.098200035095214844e+01 1.095199966430664062e+01 1.093599987030029297e+01 1.089000034332275391e+01 1.086200046539306641e+01 1.076000022888183594e+01 1.038700008392333984e+01 1.014700031280517578e+01 1.092300033569335938e+01 1.099800014495849609e+01 1.080399990081787109e+01 1.091800022125244141e+01 1.084599971771240234e+01 1.078100013732910156e+01 1.077200031280517578e+01 1.232800006866455078e+01 1.138599967956542969e+01 1.127400016784667969e+01 1.119699954986572266e+01 1.134099960327148438e+01 1.140699958801269531e+01 1.158500003814697266e+01 1.144099998474121094e+01 1.155900001525878906e+01 1.171599960327148438e+01 1.148299980163574219e+01 1.153699970245361328e+01 1.132699966430664062e+01 1.271100044250488281e+01 1.328899955749511719e+01 1.291699981689453125e+01 1.278899955749511719e+01 1.640299987792968750e+01 1.705200004577636719e+01 1.822999954223632812e+01 1.960199928283691406e+01
1.105300045013427734e+01 1.103400039672851562e+01 1.104899978637695312e+01 1.102700042724609375e+01 1.092399978637695312e+01 1.095199966430664062e+01 1.093400001525878906e+01 1.091899967193603516e+01 1.086800003051757812e+01 1.068099975585937500e+01 1.032900047302246094e+01 1.011499977111816406e+01 1.086100006103515625e+01 1.095199966430664062e+01 1.091499996185302734e+01 1.089099979400634766e+01 1.081299972534179688e+01 1.075100040435791016e+01 1.162699985504150391e+01 1.276200008392333984e+01 1.099899959564208984e+01 1.090100002288818359e+01 1.122299957275390625e+01 1.145699977874755859e+01 1.157900047302246094e+01 1.174499988555908203e+01 1.177400016784667969e+01 1.160999965667724609e+01 1.161299991607666016e+01 1.184899997711181641e+01 1.153199958801269531e+01 1.131099987030029297e+01 1.351000022888183594e+01 1.397099971771240234e+01 1.357400035858154297e+01 1.286699962615966797e+01 1.511299991607666016e+01 1.554800033569335938e+01 1.679800033569335938e+01 1.829599952697753906e+01
1.105700016021728516e+01 1.106000041961669922e+01 1.105500030517578125e+01 1.100000000000000000e+01 1.100899982452392578e+01 1.102999973297119141e+01 1.101900005340576172e+01 1.091600036621093750e+01 1.080000019073486328e+01 1.055599975585937500e+01 1.025199985504150391e+01 1.025300025939941406e+01 1.043999958038330078e+01 1.097000026702880859e+01 1.101200008392333984e+01 1.084599971771240234e+01 1.075699996948242188e+01 1.085299968719482422e+01 1.221500015258789062e+01 1.225199985504150391e+01 1.089999961853027344e+01 1.074499988555908203e+01 1.116600036621093750e+01 1.147500038146972656e+01 1.152499961853027344e+01 1.190499973297119141e+01 1.196399974822998047e+01 1.172099971771240234e+01 1.132100009918212891e+01 1.135599994659423828e+01 1.156499958038330078e+01 1.130799961090087891e+01 1.452299976348876953e+01 1.484000015258789062e+01 1.364000034332275391e+01 1.275699996948242188e+01 1.308199977874755859e+01 1.369699954986572266e+01 1.570600032806396484e+01 1.769400024414062500e+01
