time,pk4,pk4-diff,pk4-aw-diff,pk4-pw-diff,pk4-spr-diff,std,weight
1,7.745205599684294,-0.003509170386740479,0.5252055996842939,0.08520559968429353,0.15520559968429382,0.01,100.0
2,7.741696429297553,-0.004463362767694434,0.5270600656611899,0.08311309596421701,0.15169642929755334,0.01,100.0
3,7.737233066529859,-0.004666924672452666,0.527750549047342,0.07989973319652144,0.1472330665298589,0.01,100.0
4,7.732566141857406,-0.0051659246724549135,0.5282154925067575,0.07743280852407075,0.14256614185740624,0.01,100.0
5,7.727400217184951,-0.005235130386740394,0.5314971868819214,0.07366688385161613,0.13878110518495124,0.01,100.0
6,7.722165086798211,-0.005428090386740969,0.5349662231618479,0.06983175346487602,0.1347828227982122,0.01,100.0
7,7.71673699641147,-0.005573619910550498,0.5374535739515771,0.06540366307813716,0.13170761241147133,0.01,100.0
8,7.711163376500919,-0.0060895170534056575,0.5394714573090011,0.06043004316758438,0.12730468050092014,0.01,100.0
9,7.705073859447514,-0.006372286577216002,0.5391217063374665,0.05794052611418099,0.1223373794475151,0.01,100.0
10,7.698701572870298,-0.0063374027676941225,0.5364152092339349,0.056168239536964926,0.11698455687029963,0.01,100.0
11,7.6923641701026035,-0.006489717053406174,0.5354897112281449,0.05443083676927074,0.11312720210260352,0.01,100.0
12,7.685874453049197,-0.007235675148645093,0.5380952322699768,0.05234111971586142,0.10819699704919739,0.01,100.0
13,7.678638777900552,-0.007977648481977795,0.537907176168952,0.04970544456721626,0.1038548819005527,0.01,100.0
14,7.6706611294185745,-0.008108619910550452,0.5353104800679267,0.043527796085237824,0.09853784141857513,0.01,100.0
15,7.662552509508024,-0.00864243133912268,0.5332018601573747,0.03621917617468906,0.09254306150802538,0.01,100.0
16,7.653910078168901,-0.00879648467245353,0.5355118097706342,0.027976744835565448,0.08677587016890165,0.01,100.0
17,7.645113593496448,-0.009342715148644487,0.5370486584315124,0.019580260163114538,0.08061429749644855,0.01,100.0
18,7.635770878347803,-0.01022018372007416,0.537039276616202,0.010437545014469585,0.07296084634780353,0.01,100.0
19,7.625550694627729,-0.010330713243883238,0.5367238548008908,0.00041736129439495784,0.06408908662773083,0.01,100.0
20,7.615219981383846,-0.010447198958169146,0.5356788558427201,-0.009713351949488747,0.055019469383846165,0.01,100.0
21,7.604772782425677,-0.010460545624836115,0.534564990217886,-0.019760550907655272,0.04517537442567665,0.01,100.0
22,7.594312236800841,-0.010165107529595652,0.5307711112597158,-0.030021096532495406,0.037170604800842,0.01,100.0
23,7.584147129271245,-0.010458273243883376,0.5270821942063106,-0.03978620406209199,0.029696745271245106,0.01,100.0
24,7.573688856027362,-0.010364368481979191,0.5225286828671898,-0.05004447730597228,0.02365226402736198,0.01,100.0
25,7.5633244875453824,-0.009874698005788218,0.5174500286709245,-0.06020884578795194,0.019091535545382676,0.01,100.0
26,7.553449789539594,-0.010189656101024624,0.5122419973318033,-0.06988354379373707,0.016878797539594537,0.01,100.0
27,7.54326013343857,-0.010265974196266292,0.5067190078974448,-0.07967319989476263,0.01482463743857032,0.01,100.0
28,7.532994159242303,-0.010395623720072855,0.5005482717964176,-0.08953917409102985,0.01516433524230365,0.01,100.0
29,7.5225985355222305,-0.010332979910549156,0.4947240766477723,-0.09953479781110364,0.015719423522231324,0.01,100.0
30,7.512265555611681,-0.010715810386741076,0.4900577634038905,-0.10946777772165373,0.014117715611680737,0.01,100.0
31,7.50154974522494,-0.010560278958169356,0.4859610006361965,-0.11998358810839438,0.011955417224939424,0.01,100.0
32,7.490989466266771,-0.01077939895816904,0.4792102454875513,-0.1303438670665651,0.011735162266772292,0.01,100.0
33,7.480210067308602,-0.010463157053408167,0.4727641798627147,-0.14092326602473104,0.01037662730860145,0.01,100.0
34,7.469746910255194,-0.009764368481977037,0.4683010228093085,-0.15138642307814276,0.0071225262551939394,1.0,1.0
35,7.459982541773217,-0.009419772291503037,0.4646318924225685,-0.16095079156012027,0.007421029773217569,1.0,1.0
36,7.450562769481714,-0.00886497419626231,0.46102164394058853,-0.17017056385162377,0.008818737481714578,1.0,1.0
37,7.441697795285451,-0.008370941815312172,0.45749000307765986,-0.17863553804788346,0.00808587528545246,1.0,1.0
38,7.433326853470139,-0.007294195148646487,0.453404775548063,-0.18660647986319656,0.00699801347014084,1.0,1.0
39,7.426032658321493,-0.006461067529595965,0.4500153423041766,-0.19350067501184398,0.009285754321493478,1.0,1.0
40,7.419571590791897,-0.00639105610102586,0.4460304652507725,-0.19956174254143733,0.00868972679189639,1.0,1.0
41,7.413180534690871,-0.005972080862931328,0.4416870281973644,-0.2057527986424672,0.00809615069087144,1.0,1.0
42,7.4072084538279395,-0.005796423720074273,0.43833399495348147,-0.21152487950539545,0.006950813827940827,1.0,1.0
43,7.401412030107865,-0.0052218999105493324,0.43548995218578845,-0.21712130322547374,0.006221998107866611,1.0,1.0
44,7.396190130197316,-0.003753210386741479,0.43295376656095375,-0.2219432031360169,0.003867986197317208,1.0,1.0
45,7.392436919810574,-0.002768107529596442,0.43237950354263344,-0.2254964135227624,0.00568828781057551,1.0,1.0
46,7.389668812280978,-0.0018098922915035232,0.43331022642239336,-0.22786452105235977,0.006768300280977968,1.0,1.0
47,7.387858919989474,-0.0003430865772156011,0.43286961517664224,-0.2294744133438602,0.0057907279894751085,1.0,1.0
48,7.387515833412259,-7.071895816768148e-05,0.4327544697758965,-0.2298174999210758,0.00582927341226025,1.0,1.0
49,7.387445114454091,7.409437516336936e-05,0.433475417484396,-0.2298882188792435,0.008323618454091353,1.0,1.0
50,7.3875192088292545,0.0004671705656402736,0.43302570233574933,-0.22961412450408059,0.010458272829254156,1.0,1.0
51,7.387986379394895,0.00032221818468780583,0.43265770806622506,-0.2289469539384399,0.013443739394895182,1.0,1.0
52,7.388308597579583,0.0,0.4328389006098874,-0.2285247357537532,0.016844797579581794,1.0,1.0
53,7.388324242430938,0.0,0.43405151515821316,-0.22834242423573592,0.02080872243093701,1.0,1.0
