kper,time,spring,awanui,poukawa,pk4,kstp,pk4-spr-diff,pk4-conf-diff,fliptime
1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-1
2,51.0,-0.1316255183438022,-0.16259018886071797,-0.0992743051261149,-0.1316255183438022,51,-0.09085896165619722,-2.2971201016561986,-1
3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-1
4,51.0,-0.1560268954890951,-0.16097216109732493,-0.13064813647967277,-0.1560268954890951,51,-0.10433674451090447,-0.8242074745109047,-1
