,DateTime,LEVEL,level_mRL,sm_level_mRL,sm_val,sm_abs_val
1,2023-12-06,7.595035000000001,7.595035000000001,7.5958675638095245,7.597521,0.0
2,2023-12-07,7.59596196,7.59596196,7.5955430152380945,7.5983227200000005,0.0008017200000001168
3,2023-12-08,7.60156604,7.60156604,7.594726179047619,7.59802772,0.0005067199999997385
4,2023-12-09,7.600727880000001,7.600727880000001,7.593943876190477,7.597612504,9.150399999935388e-05
5,2023-12-10,7.596847719999999,7.596847719999999,7.592872097142857,7.5961401120000005,-0.0013808879999999135
6,2023-12-11,7.592958920000001,7.592958920000001,7.591726350476191,7.594903264,-0.00261773600000037
7,2023-12-12,7.5886,7.5886,7.590530500952381,7.592550383999999,-0.004970616000001371
8,2023-12-13,7.5953818,7.5953818,7.589198645714286,7.591379696,-0.00614130400000068
9,2023-12-14,7.5889634799999985,7.5889634799999985,7.587717560000001,7.59025748,-0.007263520000000412
10,2023-12-15,7.5909942799999985,7.5909942799999985,7.586163228571429,7.589238015999999,-0.008282984000001825
11,2023-12-16,7.587347840000001,7.587347840000001,7.584643780952381,7.586757968000001,-0.01076303199999984
12,2023-12-17,7.58350268,7.58350268,7.583291066666667,7.5851984560000005,-0.01232254399999988
13,2023-12-18,7.58298156,7.58298156,7.581844775238094,7.582304896000001,-0.015216103999999397
14,2023-12-19,7.58116592,7.58116592,7.579661272380953,7.579644288,-0.017876712000000516
15,2023-12-20,7.57652648,7.57652648,7.577465845714285,7.577530448,-0.019990552000000328
16,2023-12-21,7.574044799999999,7.574044799999999,7.575008036190476,7.574655208,-0.022865792000000162
17,2023-12-22,7.57293348,7.57293348,7.572372363809524,7.572020296,-0.025500704000000596
18,2023-12-23,7.568605359999999,7.568605359999999,7.569452365714286,7.570331032,-0.027189968000000064
19,2023-12-24,7.567991360000001,7.567991360000001,7.565626327619048,7.568982607999999,-0.028538392000001522
20,2023-12-25,7.568080159999999,7.568080159999999,7.56146595047619,7.567721512,-0.029799488000000096
21,2023-12-26,7.567302679999999,7.567302679999999,7.556679563809524,7.567118408000001,-0.03040259199999973
22,2023-12-27,7.566628,7.566628,7.552232211428571,7.564662631999999,-0.03285836800000119
23,2023-12-28,7.565589840000001,7.565589840000001,7.547518392380953,7.5619713840000005,-0.03554961599999995
24,2023-12-29,7.55571248,7.55571248,7.541820931428571,7.557557592,-0.0399634080000002
25,2023-12-30,7.554623919999999,7.554623919999999,7.535788803809523,7.551753952,-0.04576704800000009
26,2023-12-31,7.545233720000001,7.545233720000001,7.529974918095239,7.544091992,-0.05342900800000017
27,2024-01-01,7.5376098,7.5376098,7.523765121904763,7.535956496,-0.061564504000000575
28,2024-01-02,7.527280040000001,7.527280040000001,7.516979007619047,7.525350824,-0.0721701760000002
29,2024-01-03,7.515035000000001,7.515035000000001,7.51002991047619,7.514400112,-0.08312088800000073
30,2024-01-04,7.50159556,7.50159556,7.502891076190475,7.505668840000001,-0.0918521599999993
31,2024-01-05,7.490480159999999,7.490480159999999,7.4951979828571424,7.497115328000001,-0.10040567199999906
32,2024-01-06,7.49395344,7.49395344,7.487912801904763,7.486775304,-0.1107456960000004
33,2024-01-07,7.484512480000001,7.484512480000001,7.480046596190476,7.477354440000001,-0.12016655999999948
34,2024-01-08,7.46333488,7.46333488,7.47209187047619,7.470145384,-0.12737561600000014
35,2024-01-09,7.454491240000001,7.454491240000001,7.464331171428571,7.460082512,-0.1374384880000008
36,2024-01-10,7.454434879999999,7.454434879999999,7.456596020952381,7.449265032,-0.14825596800000085
37,2024-01-11,7.443639079999999,7.443639079999999,7.449034716190477,7.441132919999999,-0.15638808000000104
38,2024-01-12,7.430425080000001,7.430425080000001,7.4416341104761905,7.433849839999999,-0.1636711600000016
39,2024-01-13,7.42267432,7.42267432,7.435305489523809,7.424267904,-0.17325309600000072
40,2024-01-14,7.41807584,7.41807584,7.429390948571428,7.418402864000001,-0.1791181359999996
41,2024-01-15,7.406525199999999,7.406525199999999,7.423570228571428,7.412605384,-0.1849156160000005
42,2024-01-16,7.41431388,7.41431388,7.418125626666667,7.407778639999999,-0.18974236000000122
43,2024-01-17,7.401437679999999,7.401437679999999,7.412204300952381,7.402711031999999,-0.19480996800000128
44,2024-01-18,7.3985406,7.3985406,7.407047975238095,7.399843143999999,-0.1976778560000012
45,2024-01-19,7.392737800000001,7.392737800000001,7.407003196190477,7.394269631999999,-0.203251368000001
46,2024-01-20,7.3921857599999985,7.3921857599999985,7.405200662857143,7.3904215120000005,-0.2070994879999999
47,2024-01-21,7.386446319999999,7.386446319999999,7.403999201904761,7.389589192,-0.20793180800000055
48,2024-01-22,7.382197080000001,7.382197080000001,7.404093118095238,7.38920756,-0.2083134400000004
49,2024-01-23,7.394379000000001,7.394379000000001,7.404292735238096,7.386642496,-0.21087850400000008
50,2024-01-24,7.39082964,7.39082964,7.404618118095239,7.384581936000001,-0.2129390639999995
51,2024-01-25,7.379360440000001,7.379360440000001,7.405155624761905,7.382063640000001,-0.21545735999999938
52,2024-01-26,7.376143520000001,7.376143520000001,7.405514845714285,7.378984800000001,-0.21853619999999907
53,2024-01-27,7.3696056,7.3696056,7.405281779047618,7.375036520000002,-0.22248447999999854
