DateTime,LEVEL
2023-11-06,7.735418290000001
2023-11-07,7.7302366099999995
2023-11-08,7.73533813
2023-11-09,7.7370521299999995
2023-11-10,7.732153410000001
2023-11-11,7.725433569999999
2023-11-12,7.7224843299999995
2023-11-13,7.716738009999999
2023-11-14,7.71712401
2023-11-15,7.71397197
2023-11-16,7.705669050000002
2023-11-17,7.70102261
2023-11-18,7.701532530000001
2023-11-19,7.69313241
2023-11-20,7.702894369999998
2023-11-21,7.726191450000001
2023-11-22,7.74990265
2023-11-23,7.76149005
2023-11-24,7.761046101468036
2023-11-25,7.758425953938439
2023-11-26,7.760283406408841
2023-11-27,7.772801418879242
2023-11-28,7.767061671349643
2023-11-29,7.766802323820047
2023-11-30,7.75877505629045
2023-12-01,7.754316988760853
2023-12-02,7.750746081231255
2023-12-03,7.753067013701656
2023-12-04,7.75499506617206
2023-12-05,7.751686118642464
2023-12-06,7.751911131112864
2023-12-07,7.757539183583268
2023-12-08,7.753844356053671
2023-12-09,7.746707288524073
2023-12-10,7.7386282209944754
2023-12-11,7.729140513464879
2023-12-12,7.72698268593528
2023-12-13,7.728865578405682
2023-12-14,7.718048350876085
2023-12-15,7.708480243346486
2023-12-16,7.69863489581689
2023-12-17,7.686590828287292
2023-12-18,7.679070800757694
2023-12-19,7.669056253228097
2023-12-20,7.658317905698501
2023-12-21,7.648837318168901
2023-12-22,7.640327090639304
2023-12-23,7.633700063109709
2023-12-24,7.625187155580109
2023-12-25,7.621177048050513
2023-12-26,7.618600660520915
2023-12-27,7.615627072991316
2023-12-28,7.605590005461722
2023-12-29,7.586313737932123
2023-12-30,7.576426270402525
2023-12-31,7.557137162872928
2024-01-01,7.54441433534333
2024-01-02,7.530785667813733
2024-01-03,7.514241720284136
2024-01-04,7.501103372754537
2024-01-05,7.489089065224941
2024-01-06,7.478963437695342
2024-01-07,7.473123570165745
2024-01-08,7.459447062636147
2024-01-09,7.45140451510655
2024-01-10,7.450949247576952
2024-01-11,7.434854540047355
2024-01-12,7.424741632517757
2024-01-13,7.41539196498816
2024-01-14,7.408194577458564
2024-01-15,7.396145029928966
2024-01-16,7.396834802399368
2024-01-17,7.389259694869769
2024-01-18,7.385863707340172
2024-01-19,7.381261999810576
2024-01-20,7.378611052280978
2024-01-21,7.37097270475138
2024-01-22,7.368624557221784
2024-01-23,7.377607569692185
2024-01-24,7.378559302162587
2024-01-25,7.366891194632991
2024-01-26,7.3636753671033945
2024-01-27,7.357238539573795
2024-01-28,7.3634636720441975
2024-01-29,7.3806296445146
2024-01-30,7.393274256985003
2024-01-31,7.412941509455406
2024-02-01,7.4276497219258095
2024-02-02,7.423256534396213
2024-02-03,7.416947946866612
2024-02-04,7.418005159337015
2024-02-05,7.4029116118074185
2024-02-06,7.3971633442778195
2024-02-07,7.391933516748222
2024-02-08,7.389220489218626
2024-02-09,7.385384941689027
2024-02-10,7.385008554159431
2024-02-11,7.387254926629835
2024-02-12,7.380633259100236
2024-02-13,7.369821631570638
2024-02-14,7.365781884041041
2024-02-15,7.363077376511441
2024-02-16,7.355464348981845
2024-02-17,7.352552721452248
2024-02-18,7.345682053922651
2024-02-19,7.346669146393054
2024-02-20,7.3453450388634565
2024-02-21,7.343386731333858
2024-02-22,7.33936238380426
2024-02-23,7.337512836274664
2024-02-24,7.341463359999998
2024-02-25,7.338817039999998
2024-02-26,7.3406718799999995
2024-02-27,7.340272
2024-02-28,7.350036759999999
2024-02-29,7.353733839999998
2024-03-01,7.351340839999998
2024-03-02,7.348346559999999
2024-03-03,7.341866399999998
2024-03-04,7.34239312
2024-03-05,7.352901759999999
2024-03-06,7.34725228
2024-03-07,7.33499568
2024-03-08,7.335052159999997
2024-03-09,7.3320111999999975
2024-03-10,7.335457519999999
2024-03-11,7.323378759999998
2024-03-12,7.327940839999999
2024-03-13,7.32689872
2024-03-14,7.329605719999999
2024-03-15,7.334605839999997
2024-03-16,7.3471594
2024-03-17,7.334471879999998
2024-03-18,7.335215519999999
2024-03-19,7.332273159999999
2024-03-20,7.331571639999999
2024-03-21,7.330247719999998
2024-03-22,7.332349239999998
2024-03-23,7.33338168
2024-03-24,7.332032439999998
2024-03-25,7.331159279999999
2024-03-26,7.339755079999999
2024-03-27,7.334405719999999
2024-03-28,7.332881799999998
2024-03-29,7.331257999999999
2024-03-30,7.331980399999998
2024-03-31,7.340452159999999
2024-04-01,7.346474679999999
2024-04-02,7.346705599999999
2024-04-03,7.343697079999999
2024-04-04,7.3449056
2024-04-05,7.343419719999999
2024-04-06,7.346882959999998
2024-04-07,7.347391359999999
2024-04-08,7.351492759999998
2024-04-09,7.350766039999999
2024-04-10,7.35163512
2024-04-11,7.347009799999998
2024-04-12,7.3516578799999985
2024-04-13,7.357905839999998
2024-04-14,7.356797319999999
2024-04-15,7.348711199999998
2024-04-16,7.352397199999998
2024-04-17,7.352812719999998
2024-04-18,7.349035239999998
2024-04-19,7.346247959999999
2024-04-20,7.347832439999999
2024-04-21,7.355519839999997
2024-04-22,7.380776199999999
2024-04-23,7.392161959999998
2024-04-24,7.385745039999999
2024-04-25,7.3778535599999975
2024-04-26,7.383064999999999
2024-04-27,7.385274799999999
2024-04-28,7.37819428
2024-04-29,7.374516679999998
2024-04-30,7.372089959999999
2024-05-01,7.375633839999998
2024-05-02,7.3852608
2024-05-03,7.382419839999998
2024-05-04,7.378990079999999
2024-05-05,7.3788154
2024-05-06,7.378028119999999
2024-05-07,7.377309799999998
2024-05-08,7.378699879999998
2024-05-09,7.382728119999999
2024-05-10,7.3818154
2024-05-11,7.387649239999997
2024-05-12,7.38773792
2024-05-13,7.390653439999999
2024-05-14,7.388684359999998
2024-05-15,7.3924125999999974
2024-05-16,7.399101519999999
2024-05-17,7.407704199999999
2024-05-18,7.4027267199999995
2024-05-19,7.404063359999999
2024-05-20,7.401404199999999
2024-05-21,7.4016226399999985
2024-05-22,7.483053799999998
2024-05-23,7.557642359999998
2024-05-24,7.582214239999998
2024-05-25,7.577235359999999
2024-05-26,7.563090439999997
2024-05-27,7.549911439999998
2024-05-28,7.535169199999998
2024-05-29,7.526524159999998
2024-05-30,7.525870599999998
