DateTime,LEVEL
2023-11-06,7.578211080000001
2023-11-07,7.580729399999999
2023-11-08,7.5876309200000005
2023-11-09,7.592844920000001
2023-11-10,7.5937462
2023-11-11,7.59282636
2023-11-12,7.59327712
2023-11-13,7.590230799999999
2023-11-14,7.5948167999999985
2023-11-15,7.592264759999999
2023-11-16,7.5919618400000015
2023-11-17,7.591415399999999
2023-11-18,7.595825320000001
2023-11-19,7.591625199999999
2023-11-20,7.594687159999999
2023-11-21,7.59828424
2023-11-22,7.60089544
2023-11-23,7.60198284
2023-11-24,7.59498308
2023-11-25,7.59336184
2023-11-26,7.5903182000000005
2023-11-27,7.600135119999999
2023-11-28,7.597594279999999
2023-11-29,7.599033840000001
2023-11-30,7.598105479999999
2023-12-01,7.59804632
2023-12-02,7.59657432
2023-12-03,7.59909416
2023-12-04,7.600721119999999
2023-12-05,7.59921108
2023-12-06,7.595035000000001
2023-12-07,7.59596196
2023-12-08,7.60156604
2023-12-09,7.600727880000001
2023-12-10,7.5968477199999995
2023-12-11,7.592958920000001
2023-12-12,7.5886
2023-12-13,7.5953818
2023-12-14,7.5889634799999985
2023-12-15,7.5909942799999985
2023-12-16,7.587347840000001
2023-12-17,7.5835026800000005
2023-12-18,7.58298156
2023-12-19,7.58116592
2023-12-20,7.57652648
2023-12-21,7.574044799999999
2023-12-22,7.57293348
2023-12-23,7.568605359999999
2023-12-24,7.567991360000001
2023-12-25,7.568080159999999
2023-12-26,7.567302679999999
2023-12-27,7.566628
2023-12-28,7.565589840000001
2023-12-29,7.55571248
2023-12-30,7.554623919999999
2023-12-31,7.545233720000001
2024-01-01,7.5376098
2024-01-02,7.527280040000001
2024-01-03,7.515035000000001
2024-01-04,7.50159556
2024-01-05,7.490480159999999
2024-01-06,7.49395344
2024-01-07,7.484512480000001
2024-01-08,7.46333488
2024-01-09,7.454491240000001
2024-01-10,7.454434879999999
2024-01-11,7.443639079999999
2024-01-12,7.430425080000001
2024-01-13,7.4226743200000005
2024-01-14,7.41807584
2024-01-15,7.406525199999999
2024-01-16,7.41431388
2024-01-17,7.401437679999999
2024-01-18,7.3985406000000005
2024-01-19,7.392737800000001
2024-01-20,7.3921857599999985
2024-01-21,7.386446319999999
