kper,awanui,confined,poukawa,spring,inout,percentdiscrepancy,recharge,stoss,total,sw,inflow
1,-3836.9658,3480.1184,-42.4608,-35.5534,-1.5426,-0.03,433.3188,0.0,-1.5424805,-3914.98,3913.4373
2,-4360.3945,99.30896,-41.071404,-91.9278,-1.2431,-0.02,169.1,4223.7417,-1.2426758,-4493.3936,268.40897
3,-3867.1543,3467.9756,-9.8652,-23.3507,0.9243,0.02,433.3188,0.0,0.9243164,-3900.37,3901.2944
4,-4670.5728,2170.1077,-12.6006,-65.828,-0.6786,-0.01,169.1,2409.1152,-0.67871094,-4749.0015,2339.2078
