kper,time,spring,awanui,poukawa,pk4,kstp,pk4-spr-diff,pk4-conf-diff,fliptime
1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-1
2,51.0,-0.21879348487640993,-0.24720799976705532,-0.041281856002346906,-0.21879348487640993,51,-0.003690995123589502,-2.209952135123591,-1
3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,53
4,51.0,-0.2398978618822465,-0.00873985224992424,-0.016232445729038147,-0.2398978618822465,51,-0.020465778117753075,-0.7403365081177533,54
