kper,time,spring,awanui,poukawa,pk4,kstp,pk4-spr-diff,pk4-conf-diff,fliptime
1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-1
2,51.0,-0.03431403108577591,-0.05276760497625155,-0.018985659520297737,-0.0006598852131879982,51,0.0006598852131879982,-0.04604676132527356,-1
3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-1
4,51.0,-0.05288959193668852,-0.009050906763565791,-0.0628591660276907,-0.0010171075372440099,51,-0.003989885347371385,-0.01783355342429445,-1
