,initial,pmin,pmax,vary,name,dist,stderr,optimal
fast_A,0.11085415010998342,1e-05,11.085415010998343,True,fast,uniform,0.0021775362059767455,0.01713806475267678
fast_n,1.0,0.1,5.0,True,fast,uniform,0.06548383532162289,1.7715985305729935
fast_a,10.0,0.01,10000.0,True,fast,uniform,0.43573789380071354,3.564204845911564
slow_A,0.050117725144581196,1e-05,5.01177251445812,True,slow,uniform,0.0022724695517880754,0.0042594603998058565
slow_n,1.0,0.1,5.0,True,slow,uniform,1.8865509040489752,4.999999999979159
slow_a,10.0,0.01,10000.0,True,slow,uniform,2.5853252664715076,5.305058492913352
pumping_A,-0.5495654588065899,,0.0,True,pumping,uniform,0.03048631937465119,-0.15747275855905274
pumping_a,100.0,0.001,10000.0,True,pumping,uniform,73.07544425159391,128.48684550609337
pumping_b,1.0,1e-06,25.0,True,pumping,uniform,0.11651210639509994,0.1574476905947834
constant_d,7.4715937507061065,,,True,constant,uniform,0.051581562245667706,7.642967450182859
noise_alpha,1.0,1e-05,5000.0,True,noise,uniform,28.42799916795472,36.981293735835074
