,fast,slow,pumping,level_est,level_nat,pct_rfrch
2009-01-01,,,-4.1877230199324805e-09,-0.7798358490651074,,
2009-01-02,4.873406966804528e-18,,-3.2836941045622736e-05,-0.7798686818184299,-0.9505336569030826,
2009-01-03,0.004173688925908824,,-0.0007130828795625966,-0.7763752388310381,-0.9463599679771737,
2009-01-04,0.006314454012326343,,-0.003030464767901999,-0.77655185563296,-0.9442192028907562,
2009-01-05,0.005290363151452354,,-0.006804298742929948,-0.7813497804688619,-0.9452432937516302,
2009-01-06,0.0037732290896986495,,-0.011946754945064147,-0.7880093707327498,-0.9467604278133839,
2009-01-07,0.0024912375595907716,,-0.018856818903246687,-0.7962014262210403,-0.9480424193434918,
2009-01-08,0.0015716386970096097,,-0.027680161569766364,-0.8059443677501411,-0.948962018206073,
2009-01-09,0.0009621405802629233,,-0.03832612334336668,-0.817199827640488,-0.9495715163228197,
2009-01-10,0.20091364403689163,,-0.0505951281838682,-0.629517329024361,-0.749620012866191,
2009-01-11,0.3034338485569325,,-0.0636471514654432,-0.5400491477858951,-0.6470998083461501,
2009-01-12,0.25413552686486746,,-0.07589601683783384,-0.6015963348503507,-0.6963981300382152,
2009-01-13,0.18540295006980148,,-0.0864247285273334,-0.6808576233349163,-0.7651307068332811,
2009-01-14,0.12595923748081705,,-0.09492841838277252,-0.7488050257793398,-0.8245744194222655,
2009-01-15,0.09328724700692517,,-0.10155119419533641,-0.7880997920657956,-0.8572464098961574,
2009-01-16,0.06892033952316037,,-0.10692331037353155,-0.8178388157277555,-0.8816133173799222,
2009-01-17,0.04603795549075782,,-0.11147862438791013,-0.8452765137745366,-0.9044957014123247,
2009-01-18,0.033387701224937255,,-0.11607760984768596,-0.862525753500133,-0.9171459556781453,
2009-01-19,0.024258895838860383,,-0.1210488457925573,-0.8766257948310813,-0.9262747610642221,
2009-01-20,0.016066567077008525,6.579099405186112e-17,-0.1259416250460318,-0.8897109028464075,-0.934467089826074,0.9999999999999959
2009-01-21,0.010137975986340092,0.003290578659291404,-0.13097199967042156,-0.8973792899021744,-0.937105102257451,0.754956602097019
2009-01-22,0.006202721756425091,0.004809845051239031,-0.13675222479905277,-0.905575502868773,-0.9395210900954184,0.5632403294124262
2009-01-23,0.0037140975366647087,0.00578973485691584,-0.14361018695961328,-0.913942199443417,-0.941029824509502,0.39079998287569023
2009-01-24,0.0016218079738687945,0.006489646325450106,-0.15137831241034436,-0.9231027029884098,-0.9424222026037636,0.19994046862903164
2009-01-25,0.0009565297296348392,0.007019613557231023,-0.15997850088474957,-0.931838202475268,-0.9425575136162166,0.11992383978481623
2009-01-26,0.0005571983335450648,0.007436495015822067,-0.1692407385417818,-0.941082890069799,-0.9425399635537154,0.06970474212513778
2009-01-27,0.0003095744590236205,0.007773306211439074,-0.17881584886589957,-0.9505688130728212,-0.9424507762326199,0.038300016002326964
2009-01-28,0.00017726646995262698,0.015363204275014836,-0.18834186802595948,-0.9526372421583764,-0.9349931861581151,0.011406763209539964
2009-01-29,6.538060813721711e-05,0.020677609425558862,-0.19755464268958003,-0.9566474975332683,-0.9297906668693865,0.0031519374994159076
2009-01-30,3.715962128916231e-05,0.025028313129111107,-0.2063962036620256,-0.9611665757890097,-0.9254681841526823,0.0014825023114143703
2009-01-31,2.1000543864359454e-05,0.02927005417242025,-0.21493680375985055,-0.9654815939209502,-0.921242602186798,0.0007169609994509356
2009-02-01,-6.822769753526339e-17,0.03286302464546851,-0.22330406484139764,-0.9702768850733136,-0.9176706322576141,-2.0761234935406796e-15
2009-02-02,-2.9240441800827164e-17,0.037412819134776315,-0.2316267424605731,-0.9740497682031811,-0.9131208377683062,-7.815621083108206e-16
2009-02-03,-5.3607476634849807e-17,0.04121858124868531,-0.24011957592861222,-0.9787368395573113,-0.9093150756543973,-1.3005657887984612e-15
2009-02-04,4.873406966804528e-18,0.044571678754264904,-0.24867283591567058,-0.98393700203879,-0.9059619781488176,1.0933864514443957e-16
2009-02-05,-1.7056924383815846e-17,0.047954517873225445,-0.2565575995707294,-0.9884389265748883,-0.9025791390298571,-3.55689623007122e-16
2009-02-06,-3.411384876763169e-17,0.050940360557544896,-0.2635768215468288,-0.9924723058666682,-0.8995932963455378,-6.696821222750264e-16
2009-02-07,2.9240441800827164e-17,0.05363450214479129,-0.2695667619447474,-0.9957681046773403,-0.8968991547582912,5.451797002215081e-16
2009-02-08,0.0,0.056360863092764606,-0.2744134731845929,-0.9978884549692126,-0.894172793810318,0.0
2009-02-09,3.898725573443622e-17,0.058723646353405295,-0.27874229310993415,-0.9998544916339132,-0.8918100105496772,6.639106757745703e-16
2009-02-10,0.012521066777726462,0.06113107325930913,-0.28315926286149445,-0.9893429677018433,-0.876881516866047,0.17000275581171587
2009-02-11,0.018943362036978946,0.06353147215129978,-0.28743698587327177,-0.9847979965623774,-0.8680588227148038,0.22968657316404967
2009-02-12,0.045086911935718885,0.06591509230703844,-0.2905654742409517,-0.9593993148755787,-0.8395316526603253,0.40618106171412416
2009-02-13,0.055520865355380054,0.0682778100816453,-0.2919446160791299,-0.9479817855194889,-0.8267349814660572,0.44847705485849676
2009-02-14,0.04450625473893831,0.07061762947197812,-0.2913578508338512,-0.9560698115003191,-0.8354097726921661,0.386594450352276
2009-02-15,0.03112751971891876,0.07293357968829112,-0.28917672374234826,-0.9649514692125227,-0.8464725574958727,0.2991273386139344
2009-02-16,0.05371459606519424,0.07176147971947212,-0.286188579517481,-0.940548348610199,-0.8250575811184162,0.42808635613832585
2009-02-17,0.0674205186833867,0.07127495658955312,-0.2829392779252008,-0.9240796475296453,-0.8118381816301428,0.48610467321092765
2009-02-18,0.05639251118159265,0.07099128625862564,-0.2790981698176732,-0.9315502172548393,-0.8231498594628643,0.44269767674384086
2009-02-19,0.040106511807378016,0.0704795677033147,-0.27443037665133735,-0.943680142018029,-0.8399475773923899,0.3626723362003268
2009-02-20,0.06816320509747612,0.0701193811986068,-0.26957069238579484,-0.9111239509670963,-0.8122510706069996,0.4929268892290522
2009-02-21,0.07979169824943523,0.06880201112868539,-0.26518684111109336,-0.896428976610357,-0.801939947524962,0.5369789783387964
2009-02-22,0.06308372758602028,0.06775753219362766,-0.2609199115734728,-0.9099144966712092,-0.8196923971234347,0.4821394084118472
2009-02-23,0.04382770211193707,0.06682796160335086,-0.2566109262059815,-0.9257911073680779,-0.8398779931877947,0.3960728320667235
2009-02-24,0.06603271659353122,0.06563257643888426,-0.25306644330121075,-0.9012369951461796,-0.8188683638706671,0.501519535427413
2009-02-25,0.07461829761460154,0.06457083942796916,-0.2507890673529424,-0.891435775187756,-0.8113445198605118,0.5360928244837073
2009-02-26,0.058346888467732755,0.06358305635054802,-0.24905751084256217,-0.9069634109016658,-0.8286037120848018,0.4785279658306291
2009-02-27,0.04036212744341311,0.06265272404484988,-0.24749145619971674,-0.9243124495888381,-0.8475188054148196,0.3918088203817075
2009-02-28,0.30582151330335156,0.06280916879734219,-0.2463138665972829,-0.6575190293739736,-0.5819029748023888,0.829614918542821
2009-03-01,0.44774666487453285,0.06279345150160094,-0.2453387482859015,-0.514634476787152,-0.4399935405269487,0.877005842464809
2009-03-02,0.3769061533217842,0.06516993665528298,-0.2437418825369695,-0.5815016374372867,-0.5084575669260154,0.8525820822866406
2009-03-03,0.2692300617334846,0.06703842754826499,-0.24131762108863575,-0.6848849766842704,-0.6142651676213329,0.8006401738936192
2009-03-04,0.17789147457228832,0.06874508048177502,-0.23916955135989273,-0.7723688411832137,-0.7038971018490192,0.7212697020248846
2009-03-05,0.11227513361386905,0.07035302578150715,-0.2380717063099474,-0.8352793917919555,-0.7679054975077064,0.6147744903391479
2009-03-06,0.11037196907595728,0.07466186036648716,-0.23789447928625554,-0.8326964947211954,-0.7654998274606382,0.5964961618561159
2009-03-07,0.10428781150590426,0.07869512498391122,-0.23809021269261305,-0.8349431210801819,-0.7675507204132671,0.5699318936862112
2009-03-08,0.0771749689656975,0.08243194852731611,-0.23782286981451614,-0.8580517971988868,-0.790926739410069,0.4835314795743464
2009-03-09,0.05187381259777111,0.08599540732242865,-0.23683674197009552,-0.8788033669272801,-0.8126644369828828,0.37625376155603296
2009-03-10,0.03296431095631275,0.09289324959046574,-0.2356844673064571,-0.889662751637063,-0.824676096356304,0.2619176060071547
2009-03-11,0.03284648416973073,0.0989766521501228,-0.2350354521935254,-0.8830481607510562,-0.818710520583229,0.24917085943117412
2009-03-12,0.031185223682252988,0.10474466606879784,-0.23475426915085773,-0.8786602242771913,-0.8146037671520318,0.22942138582888025
2009-03-13,0.023118201068514265,0.11029350433465333,-0.23414605415585849,-0.8805701936300752,-0.817121951499915,0.1732846529369481
2009-03-14,0.01476224800951689,0.11878719743540474,-0.23328192247704035,-0.8795683219095031,-0.8169842114581609,0.11053769605958512
2009-03-15,0.00945466863033445,0.1264976754492132,-0.23248909826836708,-0.8763725990662038,-0.8145813128235349,0.06954399127390103
2009-03-16,0.005857564474624635,0.13387871473818508,-0.23168826682423865,-0.8717878324888133,-0.8107973776902728,0.041918709354668925
2009-03-17,0.04527711708124878,0.14102062755454156,-0.23079658932704064,-0.8243346895686346,-0.7642359122672922,0.24303631356227606
2009-03-18,0.06524586311595504,0.1514322159699273,-0.22968331023513688,-0.7928410760266389,-0.7338555778172002,0.30111889209657544
2009-03-19,0.05413380484897433,0.16062139983065016,-0.2279421718073813,-0.7930228120051411,-0.7357784522234581,0.25207214386134236
2009-03-20,0.038326577682454864,0.1695078754726425,-0.2256775775941389,-0.7976789693164259,-0.7426992037479851,0.18440916364262996
2009-03-21,0.02525517011098595,0.1757179989870864,-0.22358356588850456,-0.8024462416678165,-0.7495604878050102,0.12566438706383612
2009-03-22,0.015912528794506792,0.18221432200188487,-0.22232205092690832,-0.804031045007901,-0.7524068061066909,0.08031485248236023
2009-03-23,0.022253951444222635,0.1886858428200115,-0.22192543746494955,-0.7908214880780997,-0.7395938626388484,0.10549906679223447
