,initial,pmin,pmax,vary,name,dist,stderr,optimal
fast_A,0.1720171772009884,1e-05,17.20171772009884,True,fast,uniform,0.0010494401935563435,0.008180025402819811
fast_n,1.0,0.1,5.0,True,fast,uniform,0.2937179733341585,3.966592480335817
fast_a,10.0,0.01,10000.0,True,fast,uniform,0.11331665050731507,0.9750633369866186
slow_A,0.10518572444386441,1e-05,10.518572444386441,True,slow,uniform,0.612177994283792,1.821623758757373
slow_n,1.0,0.1,5.0,True,slow,uniform,0.10003718128682737,1.219202516726445
slow_a,10.0,0.01,10000.0,True,slow,uniform,189.5118780594451,1217.7796496355293
pumping_A,-1.3951898762477526,,0.0,True,pumping,uniform,0.011199000146780868,-0.12269421862329956
pumping_a,100.0,0.001,10000.0,True,pumping,uniform,7.10429561361415,32.44982711968818
pumping_b,1.0,1e-06,25.0,True,pumping,uniform,0.4126418217405426,1.11388920948654
constant_d,7.4715937507061065,,,True,constant,uniform,2.932044772708017,-0.8749883364921773
noise_alpha,1.0,1e-05,5000.0,True,noise,uniform,4.254804720086517,11.049581027973499
