,initial,pmin,pmax,vary,name,dist,stderr,optimal
fast_A,0.1720171772009884,1e-05,17.20171772009884,True,fast,uniform,0.0016082903358987885,0.014607148551749778
fast_n,1.0,0.1,5.0,True,fast,uniform,0.27699978568154726,3.5691244131371525
fast_a,10.0,0.01,10000.0,True,fast,uniform,0.17741987750407948,1.3642023140112935
slow_A,0.07757637505305033,1e-05,7.757637505305033,True,slow,uniform,0.07149472741582512,0.06375268210453398
slow_n,1.0,0.1,5.0,True,slow,uniform,0.14653197029804527,1.3447499973345096
slow_a,10.0,0.01,10000.0,True,slow,uniform,60.726705945631004,58.56154218478685
pumping_A,-1.3951898762477526,,0.0,True,pumping,uniform,4.815058385382629,-1.1484275386586145
pumping_a,100.0,0.001,10000.0,True,pumping,uniform,3195.49995248305,558.8398893384301
pumping_b,1.0,1e-06,25.0,True,pumping,uniform,14.679961153944248,1.8571618892592665
constant_d,7.4715937507061065,,,True,constant,uniform,1.4208316902090847,7.479361157915512
noise_alpha,1.0,1e-05,5000.0,True,noise,uniform,7328.355463464739,814.0614948895378
