,fast_A,fast_n,fast_a,slow_A,slow_n,slow_a,pumping_A,pumping_a,pumping_b,constant_d,noise_alpha
3,0.010160782489593147,3.6577747554226137,1.2271060053454874,3.9683795530923374,1.2457247988502185,826.6768264370494,-3.26986209440255,30.861772822892668,1.167929054651455,4.332122107298505,21.606112257641215
4,0.010820894278582018,3.994044555137087,1.0865882113223613,0.06300116789322205,1.7103941062088994,7.5514437860386385,-2.874278000064574,20.000869654257087,3.280468530387887,7.639811283382352,30.83094855902341
5,0.01205803694070153,3.755895307206255,1.2378797661854577,0.06463880881454,1.3450472621070124,10.791535193487865,-2.8605706326247478,20.862786440296002,3.0566944347800726,7.634870672721315,31.66162713446874
6,0.013099256512528277,3.538992631662881,1.3897689385561605,0.09698154431467594,0.9493376611749643,31.44690584167973,-2.824748435498822,22.073611817365386,2.6555323560484965,7.604716589496676,35.00795766346685
7,0.013743675559734894,3.3927809658070243,1.5124055944631927,0.20027034325455934,0.7051084837180589,210.71849998100222,-2.858631748487067,22.027721603751438,2.601831466099008,7.505899011236916,26.50721641316482
8,0.013441770664618016,3.356575476751306,1.552555923239696,0.12012473663004516,0.493595706252375,687.3987942264989,-3.01726154494129,25.45716133651608,1.977995151358885,7.5848621399070435,23.55413799467352
9,0.011924035802191852,3.433289998200759,1.4526551978957118,0.014304832856001428,0.33666117828395303,853.1138468877633,-3.292356856398158,37.96753168410196,0.9065335129524686,7.694357077926243,24.936240303872815
10,0.011432375938783431,3.5026369454425628,1.3973621489302603,0.3298478039919879,2.0239435585167156,156.31094585518179,-3.157480738130265,36.206596583048494,0.8869581118353878,7.37134322606525,22.740141783464516
11,0.011482359377490455,3.5155780308607607,1.3946469652827769,0.2871690002243528,2.925914808727739,29.713473784167416,-3.2997568171725056,30.364837812239323,1.0979632294733317,7.473877569589275,15.13561972745268
12,0.01170416637551558,3.461178629905264,1.431897903935385,0.3453331234162432,2.745953630947637,34.35432679174071,-3.252579010484461,28.30568745474628,1.2443792672690561,7.419247707534155,13.989493310418307
13,0.011430011836316636,3.500506014279079,1.3978092989382482,1.6470545493056643,1.5092489832240974,506.22275896138785,-3.407144063071417,39.59410400250391,0.7913581671569921,6.225432824883426,21.56773815871213
14,0.01147624828380786,3.514946448258884,1.3947738728488115,0.31272850345976894,2.39982972712908,36.87519690271321,-3.269524986162825,30.224895707927757,1.0971936021692075,7.448447722651188,14.46249985609179
15,0.011470940530661337,3.5114323282001036,1.39469689094376,0.24375927761705846,2.2089562734343335,32.992077221912595,-3.2701133986657007,30.437501053496316,1.0746067370055243,7.5099834108899834,15.335388088643098
16,0.011463220085787372,3.510207438862721,1.3957721224000432,3.2426726032404907,1.3973439924102062,551.5535834131549,-3.3701272907293727,34.28959013363184,0.9120239914733855,4.792752059396542,16.8989890811008
17,0.011478892599261565,3.5062830412050743,1.3965968326289728,0.2896454045909771,1.580372343047098,63.41708432269721,-3.183776403608686,32.400506959483224,0.9685857821011367,7.455713017416009,23.024407363055406
18,0.01144780293355158,3.502629899605212,1.4003770181537873,4.954989073067281,1.3690106923010628,586.098260914899,-3.4389410806405016,31.544943295679612,1.013929610588843,3.284524101370665,13.054580970016005
19,0.01142449439972831,3.505098734648772,1.3968416692279821,4.540211293748409,1.2730432540083418,673.2512041848277,-3.411379962466072,31.498096471183835,1.0131609516758464,3.70526941022414,13.191762890972397
20,0.011442358411245754,3.5021228698316675,1.3974709111334338,0.41229595334789876,1.1027660564445794,181.9407262675369,-3.035493945591422,29.053037623031923,1.1588414032801808,7.309626180840617,15.674832888116143
