,initial,pmin,pmax,vary,name,dist,stderr,optimal
fast_A,0.11085415010998342,1e-05,11.085415010998343,True,fast,uniform,0.0023758407297983838,0.017958558121384846
fast_n,1.0,0.1,5.0,True,fast,uniform,0.06571977266827135,1.7702125654105465
fast_a,10.0,0.01,10000.0,True,fast,uniform,0.4653693332040407,3.6382671245429115
slow_A,0.053108849187565775,1e-05,5.310884918756577,True,slow,uniform,0.011637901527285725,0.0003078148173135459
slow_n,1.0,0.1,5.0,True,slow,uniform,0.657028403961326,0.1182374364666153
slow_a,10.0,0.01,10000.0,True,slow,uniform,46746.60166537284,139.09997719849284
pumping_A,-0.5495654588065899,,0.0,True,pumping,uniform,0.048892651738301714,-0.16284450194345607
pumping_a,100.0,0.001,10000.0,True,pumping,uniform,68.65671007937743,100.332210160616
pumping_b,1.0,1e-06,25.0,True,pumping,uniform,0.21697774314480928,0.2519887972523717
constant_d,7.4715937507061065,,,True,constant,uniform,0.21358727954115864,7.702379487772387
noise_alpha,1.0,1e-05,5000.0,True,noise,uniform,50.77507042356538,59.20203081656439
