,initial,pmin,pmax,vary,name,dist,stderr,optimal
fast_A,0.1720171772009884,1e-05,17.20171772009884,True,fast,uniform,0.003096702161255264,0.020524873169472883
fast_n,1.0,0.1,5.0,True,fast,uniform,0.19733556443235722,2.7007877950255867
fast_a,10.0,0.01,10000.0,True,fast,uniform,0.3619136026657269,2.4900746325582475
slow_A,0.05270843173669154,1e-05,5.270843173669154,True,slow,uniform,0.3214521033627193,0.016132383675376973
slow_n,1.0,0.1,5.0,True,slow,uniform,0.1561830517114156,0.6615530525939657
slow_a,10.0,0.01,10000.0,True,slow,uniform,12293.194865901307,399.6067825981041
pumping_A,-1.3951898762477526,,0.0,True,pumping,uniform,8.934101113215617,-1.782838038951194
pumping_a,100.0,0.001,10000.0,True,pumping,uniform,5835.424360934481,777.40217342493
pumping_b,1.0,1e-06,25.0,True,pumping,uniform,11.995144699807767,1.2946834991548555
constant_d,7.4715937507061065,,,True,constant,uniform,6.6108045078892035,7.713122378591211
noise_alpha,1.0,1e-05,5000.0,True,noise,uniform,8191.23539968724,870.9793779421525
