,initial,pmin,pmax,vary,name,dist,stderr,optimal
fast_A,0.1720171772009884,1e-05,17.20171772009884,True,fast,uniform,0.0013498206159496793,0.011180931438931794
fast_n,1.0,0.1,5.0,True,fast,uniform,0.3595774291772887,4.086951846405056
fast_a,10.0,0.01,10000.0,True,fast,uniform,0.14775005957769277,1.0161406329374507
slow_A,0.08838444857071881,1e-05,8.838444857071881,True,slow,uniform,0.0700720421387034,0.07509045666676313
slow_n,1.0,0.1,5.0,True,slow,uniform,0.16074521827364494,1.3763015935257807
slow_a,10.0,0.01,10000.0,True,slow,uniform,46.246338590083475,52.393247879545754
pumping_A,-1.3951898762477526,,0.0,True,pumping,uniform,3.7234132012195675,-1.4402441282410086
pumping_a,100.0,0.001,10000.0,True,pumping,uniform,3116.1695955256405,804.820883314655
pumping_b,1.0,1e-06,25.0,True,pumping,uniform,6.802999637212361,1.21927166473246
constant_d,7.4715937507061065,,,True,constant,uniform,1.2815207809387008,7.527154961295422
noise_alpha,1.0,1e-05,5000.0,True,noise,uniform,10194.110000725099,961.2953474012471
