,initial,pmin,pmax,vary,name,dist,stderr,optimal
fast_A,0.11085415010998342,1e-05,11.085415010998343,True,fast,uniform,0.0029772863453455573,0.02317281268067882
fast_n,1.0,0.1,5.0,True,fast,uniform,0.05425968071711517,1.7045030211928465
fast_a,10.0,0.01,10000.0,True,fast,uniform,0.5468032881558715,4.537738840840199
slow_A,0.056662833301147374,1e-05,5.666283330114737,True,slow,uniform,0.14617473326549557,0.04946845326847692
slow_n,1.0,0.1,5.0,True,slow,uniform,0.2988710301688578,1.0964199864209765
slow_a,10.0,0.01,10000.0,True,slow,uniform,1283.0500766756575,320.458302275738
pumping_A,-0.5495654588065899,,0.0,True,pumping,uniform,0.014490838064682645,-0.0889420665603139
pumping_a,100.0,0.001,10000.0,True,pumping,uniform,4.694388412418706,19.679427423045627
pumping_b,1.0,1e-06,25.0,True,pumping,uniform,0.9856343134883818,2.3796249226612693
constant_d,7.4715937507061065,,,True,constant,uniform,2.521190935413272,6.833229820373117
noise_alpha,1.0,1e-05,5000.0,True,noise,uniform,489.193775420743,153.1473788818407
