,rmse,r2,mae,kge
3,0.2012118082311479,0.6854952705972528,0.13847346917523787,0.7482704859785774
4,0.1987062576052734,0.6932791205992113,0.13665473924537094,0.7490602280772409
5,0.19758029791320159,0.6967453111573949,0.1352004716166499,0.7463891244994547
6,0.19771949672059286,0.6963178640762673,0.13427965500636932,0.7395946113979843
7,0.20014574575570818,0.6888190665200776,0.13396427072491635,0.7291374142219808
8,0.20137520456301422,0.6849842689312133,0.1345765832067129,0.7237460669388143
9,0.20396665467573658,0.6768243741137123,0.13651841071840576,0.7129438191747908
10,0.20385848111942922,0.6771670750965302,0.13639984322329946,0.7130162950292335
11,0.2055961925343673,0.6716398934276406,0.13729188247112306,0.7109853189053814
12,0.2059121001097664,0.6706300387430282,0.13744755647253432,0.7096396262259266
13,0.20664850158515569,0.6682699808612861,0.13779002404710766,0.7072709786247504
14,0.2068997126654729,0.6674629591964758,0.1383367176364653,0.6976329880514792
15,0.20892153899722643,0.6609320930551973,0.1391471984713729,0.6962276300756083
16,0.21029086711837192,0.6564728421780629,0.13948517435361432,0.695291330461439
17,0.21029902911282425,0.6564461751029982,0.139631891416715,0.6950235541951229
18,0.2106078730806107,0.6554363517183461,0.1398888105289814,0.6946666575451126
19,0.2118746774166843,0.6512787912902354,0.14062283247729246,0.6909422396084146
20,0.21312056662824258,0.6471655541562624,0.1413381041751663,0.6868699307020333
