,initial,pmin,pmax,vary,name,dist,stderr,optimal
fast_A,0.1720171772009884,1e-05,17.20171772009884,True,fast,uniform,0.002120784546405515,0.01967649187167581
fast_n,1.0,0.1,5.0,True,fast,uniform,0.19807920678234767,3.0240736695770556
fast_a,10.0,0.01,10000.0,True,fast,uniform,0.22956171645061463,1.9738707450897477
slow_A,0.06423451953464834,1e-05,6.423451953464834,True,slow,uniform,0.02866197948638462,0.07174417270984017
slow_n,1.0,0.1,5.0,True,slow,uniform,0.09449969810885273,1.1307761618484125
slow_a,10.0,0.01,10000.0,True,slow,uniform,64.05813499017358,127.53353587272254
pumping_A,-1.3951898762477526,,0.0,True,pumping,uniform,1.3046860419122633e-12,-0.15166952192150865
pumping_a,100.0,0.001,10000.0,True,pumping,uniform,0.0,1813.4116592129824
pumping_b,1.0,1e-06,25.0,True,pumping,uniform,0.0,16.561389217572394
constant_d,7.4715937507061065,,,True,constant,uniform,0.4246139716285828,6.751391380251752
noise_alpha,1.0,1e-05,5000.0,True,noise,uniform,705.8890901746266,398.77308497758327
