,initial,pmin,pmax,vary,name,dist,stderr,optimal
fast_A,0.1720171772009884,1e-05,17.20171772009884,True,fast,uniform,0.0024629817203965978,0.016870005052200418
fast_n,1.0,0.1,5.0,True,fast,uniform,0.23042079611685895,2.8047122385330163
fast_a,10.0,0.01,10000.0,True,fast,uniform,0.3346327424201064,2.2110145132431245
slow_A,0.0477794873853897,1e-05,4.777948738538971,True,slow,uniform,0.1300492478729763,0.0028205762877358243
slow_n,1.0,0.1,5.0,True,slow,uniform,0.49080173747096184,0.5487395292637053
slow_a,10.0,0.01,10000.0,True,slow,uniform,26882.51742337619,309.8241726063435
pumping_A,-1.3951898762477526,,0.0,True,pumping,uniform,9.536488997192867,-1.715584991939211
pumping_a,100.0,0.001,10000.0,True,pumping,uniform,4910.707692212672,612.5572112751305
pumping_b,1.0,1e-06,25.0,True,pumping,uniform,18.5787640199562,1.7911562923531121
constant_d,7.4715937507061065,,,True,constant,uniform,3.815390853169606,7.958944637157241
noise_alpha,1.0,1e-05,5000.0,True,noise,uniform,5384.437523984609,695.8056942669676
