,initial,pmin,pmax,vary,name,dist,stderr,optimal
fast_A,0.1720171772009884,1e-05,17.20171772009884,True,fast,uniform,0.001998725721792733,0.01474752254491945
fast_n,1.0,0.1,5.0,True,fast,uniform,0.25735393598399575,2.9873196815221608
fast_a,10.0,0.01,10000.0,True,fast,uniform,0.2840639614173219,1.9210494576374952
slow_A,0.04581565589591423,1e-05,4.581565589591423,True,slow,uniform,0.0505487327705155,0.0005696082448338934
slow_n,1.0,0.1,5.0,True,slow,uniform,0.731916015361633,0.2637615261759893
slow_a,10.0,0.01,10000.0,True,slow,uniform,125396.52766815417,362.3871416477204
pumping_A,-1.3951898762477526,,0.0,True,pumping,uniform,14.020301047758291,-1.4855497183696307
pumping_a,100.0,0.001,10000.0,True,pumping,uniform,6235.33313180538,442.79437844040416
pumping_b,1.0,1e-06,25.0,True,pumping,uniform,47.516063667339125,2.612606072188831
constant_d,7.4715937507061065,,,True,constant,uniform,2.0672822145126446,8.042959809203445
noise_alpha,1.0,1e-05,5000.0,True,noise,uniform,4764.418918593906,675.8526854630614
