,initial,pmin,pmax,vary,name,dist,stderr,optimal
fast_A,0.1720171772009884,1e-05,17.20171772009884,True,fast,uniform,0.0028512444621815636,0.01865700518409709
fast_n,1.0,0.1,5.0,True,fast,uniform,0.21506514437185156,2.7150187497921094
fast_a,10.0,0.01,10000.0,True,fast,uniform,0.36772072543007556,2.4003413168332397
slow_A,0.05004296908074503,1e-05,5.004296908074503,True,slow,uniform,0.1264069383817184,0.005091840946078382
slow_n,1.0,0.1,5.0,True,slow,uniform,0.26506609303716516,0.5600583436793082
slow_a,10.0,0.01,10000.0,True,slow,uniform,12997.683392816702,284.7199978766666
pumping_A,-1.3951898762477526,,0.0,True,pumping,uniform,10.501799736999732,-1.5679990881137393
pumping_a,100.0,0.001,10000.0,True,pumping,uniform,4857.389740737312,511.69637836443667
pumping_b,1.0,1e-06,25.0,True,pumping,uniform,26.358165296702616,2.163645290007723
constant_d,7.4715937507061065,,,True,constant,uniform,3.572845734233341,7.946571450733015
noise_alpha,1.0,1e-05,5000.0,True,noise,uniform,7209.715949607222,819.9603503420587
