,rmse,r2,mae,kge
3,0.01917411462110833,0.9845484420975577,0.01514569682900127,0.9868587352536715
4,0.020384137082832838,0.9825367006811627,0.016610483307415692,0.9856731158859682
5,0.021010389391114367,0.9814471839752849,0.017525477846989858,0.9810221796489369
6,0.02185969811991073,0.9799169367775308,0.018259497271086708,0.9731423337133621
7,0.02067572554753795,0.9820335136184946,0.017497896000682318,0.9832890672511349
8,0.019516969335694054,0.9839909192649847,0.016529794592834466,0.9845510690957706
9,0.021351444805553968,0.9808399705852268,0.01847848633503088,0.9897072584323751
10,0.01991258798369018,0.9833353172330707,0.01707227004982784,0.9912756373079715
11,0.016629902134246383,0.9883769254831232,0.0138071078101604,0.9931905517455685
12,0.016051414123243173,0.98917150165605,0.013093215671573653,0.9924003428549739
13,0.019773994885938846,0.9835664848221984,0.017012811196333792,0.9916192153766861
14,0.016386386617196762,0.9887148319702721,0.013502626242508205,0.9934945522199812
15,0.016502388839211544,0.9885544868871191,0.013533728054833487,0.9940174113108473
16,0.016990111336232353,0.987867952978764,0.013962065714256467,0.9920372524189636
17,0.01710636369296359,0.98770136146131,0.013950767198855489,0.9917831137757677
18,0.015394405026933188,0.9900398139101573,0.012201880046602508,0.9943237932422012
19,0.015460647173010409,0.9899539121001537,0.012181367374651976,0.9943275725960273
20,0.0169100728653488,0.9879819891102893,0.013522152680669593,0.9915878999627155
