kper,awanui,confined,poukawa,spring,inout,percentdiscrepancy,recharge,stoss,total,sw,inflow
1,-7894.418,5836.864,-380.97296,-200.6306,3.03,0.03,2642.1875,0.0,3.0302734,-8476.021,8479.051
2,-1758.02,-625.4574,-162.9959,-95.7717,-0.00023586,-0.0,2642.1875,0.057301,-0.00024414062,-2016.7876,2016.7301
3,-7085.0366,4446.6094,-3.4026,0.0,0.3574,0.01,2642.1875,0.0,0.3569336,-7088.4395,7088.797
4,-2075.6323,-559.9366,-6.82,0.0,0.00014488,0.0,2642.1875,0.2016,0.00024414062,-2082.4524,2082.251
