kper,kstp,k,i,j,SPq
1,1,0,32,30,-54.96416663820207
1,1,0,33,30,-48.69367030178455
1,1,0,33,31,-1.6784875194593951
1,1,0,33,32,-10.438683794303188
1,1,0,33,33,-2.1086073922249398
1,1,0,34,30,-9.05349289766059
1,1,0,34,31,-13.19136435245332
1,1,0,34,33,-5.160263769093376
1,1,0,35,33,-9.079748355649713
1,1,0,36,32,-12.265976058041815
1,1,0,36,33,-14.298141490864737
1,1,0,37,32,-19.69802171731476
2,1,0,32,30,-167.57840031918784
2,1,0,33,30,-160.6058610108439
2,1,0,33,31,-156.6309801918998
2,1,0,33,32,-167.52017364671963
2,1,0,33,33,-180.91168837965776
2,1,0,34,30,-193.36554926676936
2,1,0,34,31,-178.74585959703055
2,1,0,34,33,-182.1432774600487
2,1,0,35,33,-197.57361609659114
2,1,0,36,32,-224.9145706650495
2,1,0,36,33,-223.66933411627897
2,1,0,37,32,-271.47991363322717
2,2,0,32,30,-69.43971677084787
2,2,0,33,30,-64.08669496942365
2,2,0,33,31,-57.87914182945332
2,2,0,33,32,-59.582324048355794
2,2,0,33,33,-63.38921298063098
2,2,0,34,30,-79.09058481067177
2,2,0,34,31,-68.444310110651
2,2,0,34,33,-64.95376786901032
2,2,0,35,33,-74.28054213305741
2,2,0,36,32,-92.91237944110743
2,2,0,36,33,-90.22137480704274
2,2,0,37,32,-119.92727876001761
2,3,0,32,30,-37.38342334445236
2,3,0,33,30,-33.61532897844769
2,3,0,33,31,-28.73679756806601
2,3,0,33,32,-28.18064209751354
2,3,0,33,33,-28.876718164210484
2,3,0,34,30,-40.690168552538935
2,3,0,34,31,-33.72123406031305
2,3,0,34,33,-29.73331293725998
2,3,0,35,33,-34.5447162736986
2,3,0,36,32,-45.15750590158273
2,3,0,36,33,-42.77372743757745
2,3,0,37,32,-58.99198437862353
2,4,0,32,30,-24.02436400746876
2,4,0,33,30,-21.217500533960546
2,4,0,33,31,-17.65638946245684
2,4,0,33,32,-16.8393117886648
2,4,0,33,33,-16.836646735179404
2,4,0,34,30,-25.101056193786903
2,4,0,34,31,-20.283509142891372
2,4,0,34,33,-17.08993053065798
2,4,0,35,33,-19.638773883069103
2,4,0,36,32,-25.963474329299686
2,4,0,36,33,-24.071567877921424
2,4,0,37,32,-33.542835949165756
2,5,0,32,30,-17.54359417108489
2,5,0,33,30,-15.411149164964577
2,5,0,33,31,-12.76492270804757
2,5,0,33,32,-12.095265856997143
2,5,0,33,33,-12.011128017250318
2,5,0,34,30,-18.020845969970097
2,5,0,34,31,-14.443269511185001
2,5,0,34,33,-11.988356166635484
2,5,0,35,33,-13.531444430715778
2,5,0,36,32,-17.805760452941907
2,5,0,36,33,-16.282006160327388
2,5,0,37,32,-22.648789264013285
2,6,0,32,30,-14.005223481392049
2,6,0,33,30,-12.370153081238785
2,6,0,33,31,-10.330062392692946
2,6,0,33,32,-9.848197671573121
2,6,0,33,33,-9.819188317645757
2,6,0,34,30,-14.476914550223285
2,6,0,34,31,-11.64863998973466
2,6,0,34,33,-9.721139769739356
2,6,0,35,33,-10.845617949633873
2,6,0,36,32,-14.150625465540553
2,6,0,36,33,-12.880396720042603
2,6,0,37,32,-17.826638514395874
2,7,0,32,30,-11.882711548098165
2,7,0,33,30,-10.616616072741127
2,7,0,33,31,-8.983350311249266
2,7,0,33,32,-8.657564359660807
2,7,0,33,33,-8.701095763270194
2,7,0,34,30,-12.530276940141214
2,7,0,34,31,-10.180193232324681
2,7,0,34,33,-8.6153968472866
2,7,0,35,33,-9.576042691485897
2,7,0,36,32,-12.407338745743523
2,7,0,36,33,-11.312943472083152
2,7,0,37,32,-15.58862952679686
2,8,0,32,30,-10.513457941121885
2,8,0,33,30,-9.521067777310643
2,8,0,33,31,-8.168226950083467
2,8,0,33,32,-7.9611353745078866
2,8,0,33,33,-8.067542166400901
2,8,0,34,30,-11.365473894417814
2,8,0,34,31,-9.335617152782547
2,8,0,34,33,-8.022881852564057
2,8,0,35,33,-8.925422120051955
2,8,0,36,32,-11.51079887681882
2,8,0,36,33,-10.540750891247196
2,8,0,37,32,-14.481575813461786
2,9,0,32,30,-9.58095347960116
2,9,0,33,30,-8.79216500557288
2,9,0,33,31,-7.637801519406579
2,9,0,33,32,-7.519058662139336
2,9,0,33,33,-7.67491174975075
2,9,0,34,30,-10.61603772797296
2,9,0,34,31,-8.809020068468772
2,9,0,34,33,-7.675069600142706
2,9,0,35,33,-8.561578195679274
2,9,0,36,32,-11.009204206549134
2,9,0,36,33,-10.128679030081472
2,9,0,37,32,-13.889390756678644
2,10,0,32,30,-8.9205088120811
2,10,0,33,30,-8.283997600689078
2,10,0,33,31,-7.273321211364961
2,10,0,33,32,-7.220272306440248
2,10,0,33,33,-7.413866569767142
2,10,0,34,30,-10.105740134594207
2,10,0,34,31,-8.458423240607136
2,10,0,34,33,-7.45385196319387
2,10,0,35,33,-8.340042412605488
2,10,0,36,32,-10.70413292792801
2,10,0,36,33,-9.889051411039276
2,10,0,37,32,-13.544556986260691
2,11,0,32,30,-8.439547201165908
2,11,0,33,30,-7.917686826760708
2,11,0,33,31,-7.012924807679897
2,11,0,33,32,-7.008997191046474
2,11,0,33,33,-7.231179290234915
2,11,0,34,30,-9.743579659042274
2,11,0,34,31,-8.213263228549552
2,11,0,34,33,-7.3039255097501155
2,11,0,35,33,-8.194909078872433
2,11,0,36,32,-10.504607800378626
2,11,0,36,33,-9.737991024120793
2,11,0,37,32,-13.327036931570396
2,12,0,32,30,-8.082381255316342
2,12,0,33,30,-7.647414508610084
2,12,0,33,31,-6.82181321393376
2,12,0,33,32,-6.854876667646392
2,12,0,33,33,-7.098724541808939
