# Filtered realizations for 62730_run34_rch250_rr
# Iteration: 19
# Filters: max_head_20.0, no_positive_confined_flux
# Initial count: 31
# Filtered count: 29
realization
0
1
3
4
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
22
23
25
26
27
28
29
30
31
32
