run_id,input_run_id,failed_flag,phi,meas_phi,regul_phi,oname:cum_otype:lst_usecol:chd2,cum,oname:cum_otype:lst_usecol:drn,oname:cum_otype:lst_usecol:in-out,oname:cum_otype:lst_usecol:percent-discrepancy,oname:cum_otype:lst_usecol:rcha,oname:cum_otype:lst_usecol:total,oname:cum_otype:lst_usecol:wel2,oname:cum_otype:lst_usecol:wel3,oname:cum_otype:lst_usecol:wel,oname:springobs_otype:lst_usecol:pk2_head,oname:springobs_otype:lst_usecol:pk4_head,oname:springobs_otype:lst_usecol:pk4_pk2_diff,oname:springobs_otype:lst_usecol:spring_flux,springobs,oname:springobs_otype:lst_usecol:spring_pk2_diff,oname:springobs_otype:lst_usecol:spring_pk4_diff,oname:cum_otype:lst_usecol:chd2_totim:1,oname:cum_otype:lst_usecol:chd_totim:1,oname:cum_otype:lst_usecol:drn_totim:1,oname:cum_otype:lst_usecol:in-out_totim:1,oname:cum_otype:lst_usecol:percent-discrepancy_totim:1,oname:cum_otype:lst_usecol:rcha_totim:1,oname:cum_otype:lst_usecol:total_totim:1,oname:cum_otype:lst_usecol:wel2_totim:1,oname:cum_otype:lst_usecol:wel3_totim:1,oname:cum_otype:lst_usecol:wel_totim:1,oname:springobs_otype:lst_usecol:pk2_head_kper:0,oname:springobs_otype:lst_usecol:pk4_head_kper:0,oname:springobs_otype:lst_usecol:pk4_pk2_diff_kper:0,oname:springobs_otype:lst_usecol:spring_flux_kper:0,oname:springobs_otype:lst_usecol:spring_head_kper:0,oname:springobs_otype:lst_usecol:spring_pk2_diff_kper:0,oname:springobs_otype:lst_usecol:spring_pk4_diff_kper:0
186,186,0,11238.9275628181,11238.9275628181,0,0,0,10.5386461206434,0,0,0.202036540482563,0,1.9268636585546,0,269.149314885902,19.4764869683418,0.176611619878999,4.94848847951729e-05,10209.8857651531,191.393766725264,332.979683361366,203.198338299682,195.25351,146.0694,-3094.3474,-60.84,-1.82,264.4325,-60.840088,1612.7974,2.82,812.1346,8.04132173035487,7.84202518529156,-0.199296545063311,-33.313193811401,6.26654863936146,-1.77477309099341,-1.5754765459301
187,187,0,2821.1544876802,2821.1544876802,0,0,0,10.5037097793991,0,0,92.1938916913309,0,8.73887165816623,0,1477.60444878538,38.0046095327885,33.6017986270959,13.1908281307484,99.99999998,209.747207038222,426.316770625052,411.252351832023,319.0633,20.994507,-3299.8958,-16.7943,-0.46,904.4521,-16.79419,316.894,2.82,1718.8774,8.21647878741112,8.37967058427262,0.163191796861499,0,6.20173480661095,-2.01474398080017,-2.17793577766167
188,188,0,389.772801450906,389.772801450906,0,0,0,10.8441202724505,0,0,6.02446097615551,0,7.79071665729901,0,45.1843319009355,0.00193576907818756,1.34496951139977,27.0787599290265,95.8451490160351,59.054453988041,58.3801774059769,78.2237260245075,297.4136,50.433395,-1311.405,-32.5221,-2.14,61.3582,-32.522095,453.2351,2.82,413.6226,7.59560026241898,7.91597282058309,0.320372558164115,-0.0629839269816097,6.88153104169367,-0.714069220725301,-1.03444177888942
189,189,0,13378.3520438117,13378.3520438117,0,0,0,10.6639196124503,0,0,8.42760884370474,0,9.15556920132365,0,4707.70293063097,3138.81920088213,3064.29734766246,11.0950951134718,15.1018682013517,696.941485681017,877.671223989783,838.475793993022,-0.59329987,-1016.8339,-2360.0862,-124.81,-3.66,29.9906,-124.81006,259.3247,2.82,2960.568,13.2025165781835,13.335609584917,0.133093006733432,-4.16583366669242,10.2899649347691,-2.91255164341448,-3.04564465014791
190,190,0,10260.7486010936,10260.7486010936,0,0,0,10.347983956543,0,0,3.25331990974659,0,1.59327561789005,0,5182.676466729,1160.70561415334,1349.25895477357,44.3973077902489,99.99999998,0.529475062800471,1111.65425913246,1296.33194398805,-35.8352,-691.3464,-4220.296,-21.3875,-0.42,106.8674,-21.387695,1716.818,2.82,3099.5847,11.0069129929503,11.4732260409258,0.466313047975566,0,7.72276503712639,-3.28414795582388,-3.75046100379945
191,191,0,12608.5151085637,12608.5151085637,0,0,0,10.4784313136199,0,0,7.0217583905804,0,4.00817136894724,0,2258.62766477346,699.992184786457,515.022763353591,0.056049402573757,7506.81663037213,12.8823844528127,902.796326164414,690.812744185097,123.67701,-331.5489,-3448.8352,-37.3999,-0.94,418.3049,-37.399902,1105.42,2.82,2092.7622,10.245736541658,10.0694112966882,-0.176325244969851,-28.9925661847501,7.29107961254879,-2.95465692910924,-2.77833168413938
192,192,0,3359.83247087195,3359.83247087195,0,0,0,10.6652351045371,0,0,0.889026352778164,0,7.52319570980993,0,1493.04799103083,362.261354697842,231.33251033471,0.0311361576441648,99.99999998,40.8762625079951,646.512967076204,466.692791919596,198.75009,-253.71642,-2352.3987,-17.172,-0.61,167.0642,-17.17212,493.1864,2.82,1727.1226,9.50331646001878,9.32096190068887,-0.182354559329911,0,7.01065453385517,-2.49266192616361,-2.3103073668337
193,193,0,2396.71981027148,2396.71981027148,0,0,0,10.5708492227977,0,0,8.80401247329759,0,3.15771334109541,0,907.316325328261,258.805644637364,198.880966949947,4.0605427921774,99.99999998,33.1916856064272,477.363946331717,394.5681236084,168.5143,-27.707611,-2905.1816,-68.0639,-2.09,25.5066,-68.06372,1291.4086,2.82,1376.5758,9.20874374788953,9.2102516333972,0.00150788550767444,0,7.0738777420857,-2.13486600580383,-2.1363738913115
194,194,0,7279.66150086048,7279.66150086048,0,0,0,10.3899612628375,0,0,3.72226007351072,0,1.42349148519144,0,3281.67310143468,1140.86124272035,1078.17373578917,9.35698202626829,10.5600487981953,15.3231225542026,891.748689621335,836.428865094737,-5.6203003,-493.6805,-3971.5159,-101.5043,-2.19,98.0828,-101.504395,1773.9656,2.82,2494.444,10.9776637528332,11.0835555968937,0.105891844060418,-3.97488686114218,8.04144760254985,-2.93621615028339,-3.04210799434381
195,195,0,1052.56535964425,1052.56535964425,0,0,0,10.7881561224776,0,0,4.12917497898012,0,10.0997972006772,0,337.086159711978,11.2362736593543,4.55529584827391,27.2248235841061,99.99999998,233.055171917184,141.945528425157,172.444978216062,370.8706,118.72208,-1636.1503,-26.7474,-1.4,90.8995,-26.747314,133.539,2.82,892.5517,7.2647944860335,7.58656860942509,0.321774123391589,0,6.12338553682607,-1.14140894920744,-1.46318307259903
