kper,kstp,time,k,i,j,CONFq
1,1,1.0,0,1,27,0.9582157487365297
1,1,1.0,0,1,28,1.0144007434668794
1,1,1.0,0,1,29,1.1044524604140378
1,1,1.0,0,1,30,1.2133401110118207
1,1,1.0,0,1,31,1.322431933102047
1,1,1.0,0,1,32,1.480350608623331
1,1,1.0,0,1,33,1.6765502447944236
1,1,1.0,0,1,34,1.8343098181872026
1,1,1.0,0,1,35,1.9903487573322405
1,1,1.0,0,1,36,2.131324956121336
1,1,1.0,0,1,37,2.1875988056693565
1,1,1.0,0,1,38,2.2460011470886307
1,1,1.0,0,1,39,2.313647318405021
1,1,1.0,0,1,40,2.3929632185841054
1,1,1.0,0,1,41,2.4800153110731724
1,1,1.0,0,1,42,2.5561282338265556
1,1,1.0,0,2,24,0.7587044732895656
1,1,1.0,0,2,25,0.7981648332899862
1,1,1.0,0,2,26,0.8583851828911939
1,1,1.0,0,2,27,0.9345952237454451
1,1,1.0,0,2,28,1.0146050255026573
1,1,1.0,0,2,29,1.1221021618300835
1,1,1.0,0,2,30,1.2525731344396576
1,1,1.0,0,2,31,1.3978745663810574
1,1,1.0,0,2,32,1.670945780112259
1,1,1.0,0,2,33,1.878525712209333
1,1,1.0,0,2,34,2.01290916761951
1,1,1.0,0,2,35,2.1223760518059684
1,1,1.0,0,2,36,2.2069243140223236
1,1,1.0,0,2,37,2.251005742569033
1,1,1.0,0,2,38,2.3038593494944326
1,1,1.0,0,2,39,2.3709012999335606
1,1,1.0,0,2,40,2.456273350611827
1,1,1.0,0,2,41,2.5643318802785817
1,1,1.0,0,2,42,2.7076517691303117
1,1,1.0,0,2,43,2.9443235861917376
1,1,1.0,0,2,44,3.1656505869829505
1,1,1.0,0,2,45,3.3912167502207726
1,1,1.0,0,2,46,3.6649364651255443
1,1,1.0,0,2,47,3.51295321418441
1,1,1.0,0,3,21,0.4195009465541233
1,1,1.0,0,3,22,0.49160014693655363
1,1,1.0,0,3,23,0.6208999360891134
