budget_type,kper,truth_value
Awanui,1,-51.1721
Awanui,2,-79.2137
Awanui,3,-50.4094
Awanui,4,-62.6323
Poukawa,1,-53.0915
Poukawa,2,-57.2394
Poukawa,3,-40.1217
Poukawa,4,-45.9926
Spring,1,-46.0731
Spring,2,-75.6433
Spring,3,-59.7343
Spring,4,-74.2146
Recharge,1,150.38
Recharge,2,129.73
Recharge,3,150.38
Recharge,4,129.73
Storage,2,82.4144
Storage,4,53.1575
