kper,awanui,confined,poukawa,spring,inout,percentdiscrepancy,recharge,stoss,total,sw,inflow
1,-832.3102,-2742.5635,-205.129,-101.8573,0.042121,0.0,3881.9019,0.0,0.041992188,-1139.2965,1139.3384
2,-232.4064,-3012.5493,-147.2343,-66.9867,-0.1454,-0.0,3312.246,146.785,-0.14526367,-446.62738,299.69678
3,-1464.192,-2314.422,-103.2754,0.0,0.012207,0.0,3881.9019,0.0,0.012207031,-1567.4674,1567.4797
4,-538.9998,-2823.408,-101.5214,0.0,-0.1515,-0.0,3312.246,151.5313,-0.15161133,-640.52124,488.83813
