pp_0000 555.0 1155.0 1 0.6902217758473164765931073816318530589342117309570312500000000000000
pp_0001 655.0 1155.0 1 0.7234648618134961184367170972109306603670120239257812500000000000000
pp_0002 755.0 1155.0 1 0.7554322891733025180371896567521616816520690917968750000000000000000
pp_0003 855.0 1155.0 1 0.8445372148479439733392837297287769615650177001953125000000000000000
pp_0004 955.0 1155.0 1 0.9071482773675263455714912197436206042766571044921875000000000000000
pp_0005 1055.0 1155.0 1 0.88786204704443805191260707943001762032508850097656250000000000000000
pp_0006 1155.0 1155.0 1 1.06366151186597202027428465953562408685684204101562500000000000000000
pp_0007 1255.0 1155.0 1 1.09564031330466127300837797520216554403305053710937500000000000000000
pp_0008 1355.0 1155.0 1 1.41670095039249410717729915631935000419616699218750000000000000000000
pp_0009 1455.0 1155.0 1 1.13404256628948951757251961680594831705093383789062500000000000000000
pp_0010 455.0 1055.0 1 1.11671174771090209176804819435346871614456176757812500000000000000000
pp_0011 555.0 1055.0 1 0.85489464785744662123079251614399254322052001953125000000000000000000
pp_0012 655.0 1055.0 1 0.78315923440075319028608191729290410876274108886718750000000000000000
pp_0013 755.0 1055.0 1 0.98191375608662501139889400292304344475269317626953125000000000000000
pp_0014 855.0 1055.0 1 1.05578377409333645786659872101154178380966186523437500000000000000000
pp_0015 955.0 1055.0 1 0.89614247524155588031646857416490092873573303222656250000000000000000
pp_0016 1055.0 1055.0 1 0.947967035991329143307382310013053938746452331542968750000000000000000
pp_0017 1155.0 1055.0 1 1.105175770480056218758591057849116623401641845703125000000000000000000
pp_0018 1255.0 1055.0 1 0.989999016647590379669452431699028238654136657714843750000000000000000
pp_0019 1355.0 1055.0 1 1.435300724812109240957624933798797428607940673828125000000000000000000
pp_0020 1455.0 1055.0 1 1.528282916080726527852107210492249578237533569335937500000000000000000
pp_0021 255.0 955.0 1 0.93958499416562468731228818796807900071144104003906250000000000000000
pp_0022 355.0 955.0 1 1.09361533673273925160174258053302764892578125000000000000000000000000
pp_0023 455.0 955.0 1 1.08980976454434563827078363829059526324272155761718750000000000000000
pp_0024 555.0 955.0 1 0.86637335892225530997734495031181722879409790039062500000000000000000
pp_0025 655.0 955.0 1 0.92141699607018823225956793976365588605403900146484375000000000000000
pp_0026 755.0 955.0 1 0.87382016562061859410448505514068529009819030761718750000000000000000
pp_0027 855.0 955.0 1 0.98437436068102857067430022652843035757541656494140625000000000000000
pp_0028 955.0 955.0 1 0.95334024742284340092624006501864641904830932617187500000000000000000
pp_0029 1055.0 955.0 1 1.121514240093825387489800959883723407983779907226562500000000000000000
pp_0030 1155.0 955.0 1 1.209269472173782666857277945382520556449890136718750000000000000000000
pp_0031 1255.0 955.0 1 1.102124999555890383362566353753209114074707031250000000000000000000000
pp_0032 1355.0 955.0 1 1.277369955735836448695863509783521294593811035156250000000000000000000
pp_0033 1455.0 955.0 1 1.310978406525904249591008010611403733491897583007812500000000000000000
pp_0034 255.0 855.0 1 1.01764501268930551702851516893133521080017089843750000000000000000000
pp_0035 355.0 855.0 1 0.97638467806437501117500232794554904103279113769531250000000000000000
pp_0036 455.0 855.0 1 1.12803129466893503618507565988693386316299438476562500000000000000000
pp_0037 555.0 855.0 1 1.07943656005788346519125298073049634695053100585937500000000000000000
pp_0038 655.0 855.0 1 0.96385615383698841629467324310098774731159210205078125000000000000000
pp_0039 755.0 855.0 1 0.84135275269411591292367802452645264565944671630859375000000000000000
pp_0040 855.0 855.0 1 0.82484211474239332861912998851039446890354156494140625000000000000000
pp_0041 955.0 855.0 1 0.87297483149675891844765374116832390427589416503906250000000000000000
pp_0042 1055.0 855.0 1 1.235655516953957366865779476938769221305847167968750000000000000000000
pp_0043 1155.0 855.0 1 0.952781094828052288470132680231472477316856384277343750000000000000000
pp_0044 1255.0 855.0 1 1.240341495569305507729040982667356729507446289062500000000000000000000
pp_0045 1355.0 855.0 1 1.185657187913377041965645730670075863599777221679687500000000000000000
pp_0046 1455.0 855.0 1 1.019729276933776240809947921661660075187683105468750000000000000000000
pp_0047 155.0 755.0 1 1.09086362690773830408375033584889024496078491210937500000000000000000
pp_0048 255.0 755.0 1 1.20566813484673640566313679300947114825248718261718750000000000000000
pp_0049 355.0 755.0 1 1.01023104542159036789428228075848892331123352050781250000000000000000
