time,spring,awanui,poukawa,pk4,kper,kstp,pk4-diff,pk4-aw-diff,pk4-pw-diff,pk4-spr-diff
1.0,9.884923849759073,7.561009960933051,7.895019833610629,9.884923849759073,1,1,0.0,-2.664923849759073,-2.2249238497590724,-2.2949238497590727
2.0,9.884736314218708,7.560552779550091,7.894777171058497,9.884736314218708,2,1,-0.00018657485037287813,-2.670099954218708,-2.226152984218708,-2.2947363142187083
3.0,9.884549739368335,7.559864166800768,7.894485207985953,9.884549739368335,2,2,-0.00018573052195769435,-2.6750672193683354,-2.227216409368335,-2.2945497393683354
4.0,9.884364008846378,7.558967750072786,7.8940991254200075,9.884364008846378,2,3,-0.00018581305988085717,-2.6800133588463773,-2.2292306788463776,-2.2943640088463777
5.0,9.884178195786497,7.557710639835164,7.893666764521185,9.884178195786497,2,4,-0.00018581064438194517,-2.6882751657864965,-2.230444865786497,-2.295559085786497
6.0,9.883992385142115,7.556114014694162,7.893191620597052,9.883992385142115,2,5,-0.0001864887093816492,-2.696793525142115,-2.2316590551421145,-2.2966101251421147
7.0,9.883805896432733,7.554250647761268,7.892697335319202,9.883805896432733,2,6,-0.00018639988146951225,-2.704522476432733,-2.232472566432733,-2.298776516432733
8.0,9.883619496551264,7.552161282847825,7.892205782176879,9.883619496551264,2,7,-0.0001863021051988767,-2.711927576551264,-2.232886166551263,-2.299760796551263
9.0,9.883433194446065,7.549961730551237,7.891563637778531,9.883433194446065,2,8,-0.0001861620323282409,-2.717481044446065,-2.2362998644460648,-2.3006967144460644
10.0,9.883247032413736,7.547767562953152,7.890730984653858,9.883247032413736,2,9,-0.00018692245689777565,-2.720960672413736,-2.2407137024137365,-2.3015300124137363
11.0,9.883060109956839,7.545484056272471,7.88972196501731,9.883060109956839,2,10,-0.000187064666405945,-2.7261856499568387,-2.2451267799568386,-2.3038231399568385
12.0,9.882873045290433,7.542925399625867,7.888559938122221,9.882873045290433,2,11,-0.00018800728795120847,-2.7350938252904324,-2.249339715290433,-2.3051955852904324
13.0,9.882685038002482,7.540222584967848,7.8872461328761405,9.882685038002482,2,12,-0.00018873205915248548,-2.741953438002482,-2.253751708002482,-2.3079011380024816
14.0,9.882496305943329,7.5374733330897765,7.885934796947667,9.882496305943329,2,13,-0.00018907570629522752,-2.7471456559433287,-2.2553629759433287,-2.3103730159433287
15.0,9.882307230237034,7.534646612948127,7.884676841968495,9.882307230237034,2,14,-0.00018986395805953293,-2.7529565802370337,-2.2559739002370343,-2.312297780237034
16.0,9.882117366278974,7.531489148201934,7.883488651858861,9.882117366278974,2,15,-0.00019045255322147625,-2.763719096278974,-2.2561840362789747,-2.3149831562789744
17.0,9.881926913725753,7.5280629291555945,7.882364847603216,9.881926913725753,2,16,-0.000190439249532659,-2.7738619737257526,-2.256393583725753,-2.3174276137257532
18.0,9.88173647447622,7.524443087733296,7.8813105505884025,9.88173647447622,2,17,-0.00019024627192543164,-2.7830048744762204,-2.25640314447622,-2.3189264444762205
19.0,9.881546228204295,7.520615167644795,7.880320223298622,9.881546228204295,2,18,-0.00019004085084972644,-2.7927193882042944,-2.256412898204295,-2.3200846182042945
20.0,9.881356187353445,7.516627977092177,7.879388689999023,9.881356187353445,2,19,-0.0001894779866500329,-2.801815057353445,-2.256422857353445,-2.3211556773534454
21.0,9.881166709366795,7.512490610984335,7.878500926240295,9.881166709366795,2,20,-0.00019009875713038582,-2.8109589193667945,-2.2566333793667948,-2.3215692993667947
22.0,9.880976610609665,7.508352473901099,7.877663433073938,9.880976610609665,2,21,-0.00019081397988429671,-2.8174354806096646,-2.256643280609665,-2.3238349806096643
23.0,9.88078579662978,7.504219198235227,7.8768618281489795,9.88078579662978,2,22,-0.0001925121955697051,-2.8237208566297802,-2.2568524666297805,-2.3263354166297807
24.0,9.88059328443421,7.500115999087271,7.876103228508343,9.88059328443421,2,23,-0.00019490349892059555,-2.8294331144342104,-2.2568599544342103,-2.33055669443421
25.0,9.88039838093529,7.496068359172159,7.875384045604422,9.88039838093529,2,24,-0.00019821270530684387,-2.8345239209352897,-2.25686505093529,-2.3361654309352904
26.0,9.880200168229983,7.492099550722243,7.874700983278423,9.880200168229983,2,25,-0.00020153186197724438,-2.8389923782299835,-2.256866838229983,-2.3436291782299827
27.0,9.879998636368006,7.488198670742778,7.874040811115663,9.879998636368006,2,26,-0.00020607660320060006,-2.843457506368006,-2.2570653063680055,-2.3515631363680063
28.0,9.879792559764805,7.484386019116841,7.873401519435326,9.879792559764805,2,27,-0.0002104667047273523,-2.8473466697648053,-2.257259229764805,-2.361962739764805
29.0,9.879582093060078,7.480625677502733,7.872781286015613,9.879582093060078,2,28,-0.0002131943186842733,-2.8517076330600784,-2.2574487630600784,-2.372702983060078
30.0,9.879368898741394,7.476853435823056,7.872178459186996,9.879368898741394,2,29,-0.00021566129848871185,-2.8571611087413933,-2.257635568741394,-2.381221058741394
31.0,9.879153237442905,7.473019153769768,7.871601750613386,9.879153237442905,2,30,-0.00021907823716027508,-2.863564497442905,-2.257619907442905,-2.389558907442905
32.0,9.878934159205745,7.469273526095145,7.871049047347165,9.878934159205745,2,31,-0.00022173072746056732,-2.8671549392057445,-2.257600829205745,-2.3996798592057447
33.0,9.878712428478284,7.465578706731539,7.87051841344783,9.878712428478284,2,32,-0.00022292229946252462,-2.8712665384782845,-2.257579098478284,-2.4088789884782837
34.0,9.878489506178822,7.461841444626663,7.870018285321131,9.878489506178822,2,33,-0.0002258407660296058,-2.8770436161788213,-2.2573561761788214,-2.4158651261788213
35.0,9.878263665412792,7.458059749132938,7.869536077176367,9.878263665412792,2,34,-0.00022905417779739423,-2.882913015412792,-2.2573303354127923,-2.425702155412792
36.0,9.878034611234995,7.45425161427791,7.8690703574104495,9.878034611234995,2,35,-0.00023047140949117306,-2.8884934812349945,-2.2573012812349944,-2.436290581234995
37.0,9.877804139825503,7.45044311210404,7.868609612822722,9.877804139825503,2,36,-0.00023137390418348502,-2.8935963498255033,-2.257470809825503,-2.4441922198255037
38.0,9.87757276592132,7.446687457806554,7.868153410869538,9.87757276592132,2,37,-0.00023369894806002378,-2.8976506859213202,-2.2576394359213197,-2.45124392592132
39.0,9.87733906697326,7.442997930491989,7.867701374370158,9.87733906697326,2,38,-0.00023368721033278916,-2.9013217469732595,-2.2578057369732596,-2.46059216697326
