kper,awanui,confined,poukawa,spring,inout,percentdiscrepancy,recharge,stoss,total,sw,inflow
1,-1126.8279,-1264.8539,-152.9514,-97.5541,1.6212e-05,0.0,2642.1875,0.0,0.0,-1377.3334,1377.3336
2,-393.0547,-2160.1199,-136.5298,-95.579,-8.6402e-12,-0.0,2642.1875,143.0958,0.0,-625.16345,482.06763
3,-2147.483,-410.40637,-84.2982,0.0,1.9697e-07,0.0,2642.1875,0.0,0.0,-2231.781,2231.7812
4,-795.244,-1884.013,-94.7881,0.0,3.1832e-12,0.0,2642.1875,131.8576,0.0,-890.0321,758.17456
