kper,kstp,k,i,j,AWq
1,1,0,2,46,-6.854277614680882
1,1,0,3,46,-6.446373799622961
1,1,0,4,46,-6.946745962600517
1,1,0,5,45,-8.57141804449725
1,1,0,6,45,-8.696703432052459
1,1,0,7,44,-9.44311971908337
1,1,0,8,43,-8.721221911643624
1,1,0,8,54,-7.760618258369391
1,1,0,9,43,-8.776524557159632
1,1,0,9,52,-8.53137696547617
1,1,0,9,53,-8.590141258847098
1,1,0,10,42,-8.780966562843787
1,1,0,10,50,-8.41918391869217
1,1,0,10,51,-8.503986052895812
1,1,0,11,42,-8.079156835092022
1,1,0,11,48,-8.303854128559351
1,1,0,11,49,-8.700202481495921
1,1,0,12,9,-9.8003613426107
1,1,0,12,42,-8.136215826221019
1,1,0,12,46,-7.308331954088317
1,1,0,12,47,-8.815647201665683
1,1,0,13,10,-10.784337330160497
1,1,0,13,42,-7.937348386093049
1,1,0,13,44,-7.921553001474422
1,1,0,13,45,-8.368688105751517
1,1,0,13,52,-12.312278884275315
1,1,0,13,53,-11.430728316710088
1,1,0,13,54,-11.454864615961924
1,1,0,13,55,-11.47835373770181
1,1,0,14,10,-10.129888441937737
1,1,0,14,11,-10.958084587532426
1,1,0,14,41,-8.218024790270874
1,1,0,14,42,-7.296742011844913
1,1,0,14,43,-7.665555805914892
1,1,0,14,50,-12.093154301481718
1,1,0,14,51,-12.164801452372103
1,1,0,15,12,-11.074744804632246
1,1,0,15,13,-11.24332084927164
1,1,0,15,41,-8.112632818875568
1,1,0,15,48,-11.951762661712223
1,1,0,15,49,-12.069193553031937
1,1,0,16,14,-7.217345994596144
1,1,0,16,15,-10.564947592991075
1,1,0,16,16,-10.373535943168235
1,1,0,16,17,-11.148670846035202
1,1,0,16,41,-8.29512371227952
1,1,0,16,46,-11.888605448579824
1,1,0,16,47,-11.89929736803606
1,1,0,17,18,-12.00883953022219
1,1,0,17,41,-8.416472394051539
1,1,0,17,42,-9.796798276629488
1,1,0,17,43,-10.74886962822086
1,1,0,17,44,-10.902284525755817
1,1,0,17,45,-11.850440838616237
1,1,0,18,19,-10.94752438514979
1,1,0,18,20,-11.16369124988421
1,1,0,18,40,-6.125347788498175
1,1,0,18,42,-11.43447955813349
1,1,0,19,21,-12.061365762320293
1,1,0,19,40,-5.62087025403639
1,1,0,19,41,-10.914575371375463
1,1,0,20,22,-12.060917983417312
1,1,0,20,39,-8.220226625875625
1,1,0,20,41,-10.346101498405119
1,1,0,21,23,-12.155935322509436
1,1,0,21,36,-11.554459228635437
1,1,0,21,37,-10.681294272938885
1,1,0,21,38,-10.570757946569415
1,1,0,21,39,-9.67386770516191
1,1,0,21,40,-9.305279121930994
1,1,0,21,41,-9.602606130559252
1,1,0,22,24,-12.18683329289513
1,1,0,22,35,-12.447448002076158
1,1,0,23,25,-11.2894494164168
1,1,0,23,26,-11.288263533644681
1,1,0,23,34,-12.430511495370979
1,1,0,24,27,-11.324788632213426
1,1,0,24,28,-11.330462670437328
1,1,0,24,33,-11.529607029690851
1,1,0,25,29,-11.337427367366558
1,1,0,25,33,-11.409127519132767
1,1,0,26,29,-11.469241836794822
1,1,0,26,32,-11.336123477735214
1,1,0,27,30,-8.602145456090511
1,1,0,27,31,-10.527827896088525
1,1,0,27,32,-8.427672819374607
1,1,0,27,33,-10.44575206090326
1,1,0,28,32,-10.400686199493748
1,1,0,28,33,-11.208221331207369
1,1,0,29,31,-11.417229855859887
1,1,0,30,31,-10.867197780895367
1,1,0,31,31,-12.129961117913922
1,1,0,32,30,7.769250741234373
1,1,0,33,27,-6.979243775183477
1,1,0,33,28,-6.666680129475367
1,1,0,33,29,-5.6789009828678445
1,1,0,34,25,-7.597982999863916
1,1,0,34,26,-11.327253394899458
1,1,0,35,22,-7.5650598064064525
1,1,0,35,23,-7.9207647433185
1,1,0,35,24,-12.35518761843855
1,1,0,36,14,-10.430816420556312
1,1,0,36,15,-12.441291048029143
1,1,0,36,16,-6.838314884926717
1,1,0,36,17,-6.922713041530756
1,1,0,36,18,-7.076171934245849
1,1,0,36,19,-7.104504016058399
1,1,0,36,20,-6.94866005504241
1,1,0,36,21,-10.682615417947432
1,1,0,37,14,-8.986025812556022
1,1,0,38,12,-5.9314040107669825
1,1,0,38,13,-8.799447416992962
1,1,0,39,11,-7.254623160467418
1,1,0,40,9,-5.0667608554082335
1,1,0,40,10,-5.008526298290349
1,1,0,41,7,-6.068405194494517
1,1,0,41,8,-5.6886107865369695
1,1,0,42,6,-8.588884152037735
1,1,0,43,5,-8.474903298052595
1,1,0,44,3,-2.9250073214807344
1,1,0,44,4,-7.459477304249162
2,1,0,2,46,-91.18412392110329
2,1,0,3,46,-93.43267080395782
2,1,0,4,46,-95.31960550056246
2,1,0,5,45,-85.62380962936562
2,1,0,6,45,-84.83308339465151
2,1,0,7,44,-85.93033763974076
2,1,0,8,43,-84.55131393785297
2,1,0,8,54,-83.60291145916013
2,1,0,9,43,-84.22622137405872
2,1,0,9,52,-85.678953191698
2,1,0,9,53,-85.32745167636844
2,1,0,10,42,-84.2145971772069
2,1,0,10,50,-86.3202210857952
2,1,0,10,51,-85.88437645975901
2,1,0,11,42,-82.6244808665259
2,1,0,11,48,-86.85225773509598
2,1,0,11,49,-84.87651669748726
2,1,0,12,9,-69.72009714608463
2,1,0,12,42,-82.16623975027531
2,1,0,12,46,-92.30187715611335
2,1,0,12,47,-84.80356413853649
2,1,0,13,10,-71.06058210317468
