kper,awanui,confined,poukawa,spring,inout,percentdiscrepancy,recharge,stoss,total,sw,inflow
1,-24902.232,5824.996,-4750.3945,-2580.3706,13.8728,0.04,26421.875,0.0,13.873047,-32232.998,32246.871
2,-73565.3,-9070.7705,-13719.845,-6705.019,0.01943,0.0,26421.875,76639.08,0.015625,-93990.16,17351.105
3,-31002.67,4594.369,-12.3301,0.0,1.2439,0.0,26421.875,0.0,1.2441406,-31015.0,31016.244
4,-114523.21,-7249.314,-56.6652,0.0,0.4051,0.0,26421.875,95407.72,0.3984375,-114579.875,19172.56
