time,flux
1.0,-197.88357167429456
2.0,-935.8455126076324
3.0,-917.8430379003487
4.0,-901.2109811280983
5.0,-885.7976398326775
6.0,-871.4724261493906
7.0,-858.1077386043171
8.0,-845.5900543972268
9.0,-833.8205787161892
10.0,-822.713970689944
11.0,-812.1960336600317
12.0,-802.2019862185583
13.0,-792.6750780279011
14.0,-783.5655026073763
15.0,-774.8295402898422
16.0,-766.4285679667987
17.0,-758.3288590819432
18.0,-750.5007085584325
19.0,-742.9179681919901
20.0,-735.5576269733709
21.0,-728.3994365463508
22.0,-721.4255787170964
23.0,-714.6203711998554
24.0,-707.9700077551636
25.0,-701.4623290648885
26.0,-695.086620959206
27.0,-688.8334369082902
28.0,-682.6944419895449
29.0,-676.6622758265738
30.0,-670.7304322627333
31.0,-664.893153777553
32.0,-659.1453388778956
33.0,-653.482460897871
34.0,-647.9004968232473
35.0,-642.3958649186877
36.0,-636.9653700810868
37.0,-631.606155971083
38.0,-626.3156630890022
39.0,-621.0915920624658
40.0,-615.9318715020836
41.0,-610.8346298602683
42.0,-605.7981707974506
43.0,-600.8209516208864
44.0,-595.901564414794
45.0,-591.0387195275878
46.0,-586.2312311232756
47.0,-581.4780045403138
48.0,-576.778025233004
49.0,-572.1303490983763
50.0,-567.534094015956
51.0,-562.9884324492073
52.0,-558.4925849762275
53.0,-554.0458146337118
54.0,-158.23891541601608
55.0,-1048.234850338545
56.0,-1032.2515917271535
57.0,-1017.4902729139571
58.0,-1002.9147213935416
59.0,-988.2544183215326
60.0,-973.46246132362
61.0,-958.568201817787
62.0,-943.6257406816491
63.0,-928.6936444035816
64.0,-913.8268146416364
65.0,-899.0734092308296
66.0,-884.4740852414711
67.0,-870.062225911855
68.0,-855.8645831668999
69.0,-841.9020593239821
70.0,-828.1904990432828
71.0,-814.7414333153667
72.0,-801.562751973462
73.0,-788.659298266781
74.0,-776.0333872556557
75.0,-763.6852535380995
76.0,-751.6134352857936
77.0,-739.8151018811456
78.0,-728.286332186083
79.0,-717.0223499369366
80.0,-706.0177221058
81.0,-695.2665253859064
82.0,-684.7624853022305
83.0,-674.4990918526175
84.0,-664.4696950642175
85.0,-654.6675834027135
86.0,-645.0860475855891
87.0,-635.7184320124672
88.0,-626.5581757253157
89.0,-617.5988445414872
90.0,-608.8342971718921
91.0,-600.2582276357614
92.0,-591.864742243898
93.0,-583.6481209321538
94.0,-575.6028320110295
95.0,-567.7235401340898
96.0,-560.005109464738
97.0,-552.4426037118135
98.0,-545.0312840044521
99.0,-537.7666052279582
100.0,-530.6442112478012
101.0,-523.6599293322058
102.0,-516.8097640083174
103.0,-510.0898905350353
104.0,-503.49664813717726
105.0,-497.0265331163012
106.0,-490.6761919302981
