kper,time,spring,awanui,poukawa,pk4,kstp,pk4-spr-diff,pk4-conf-diff,fliptime
1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-1
2,51.0,-0.21879348403396026,-0.2472079907859186,-0.04128184819856617,-0.21879348403396026,51,-0.003690995966039168,-2.2099521359660406,-1
3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-1
4,51.0,-0.23989783813288845,-0.008739848515830317,-0.016232449740709143,-0.23989783813288845,51,-0.02046580186711111,-0.7403365318671113,-1
